Namespace(action=3, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'lf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 10, 'attack_strength': 1.0, 'k': 1, 'test_frequency': 1}
======================Start Train Model [Sat May  4 19:03:05 2024]======================
Epoch: 1 | Epoch Time: 1m 5s
Train Loss: 2.2974091687011717 | Train Acc: 13.872000575065613%
Test Loss: 2.297498580932617 | Test Acc: 13.740000128746033%
Epoch: 2 | Epoch Time: 1m 45s
Train Loss: 2.284496841430664 | Train Acc: 14.997999370098114%
Test Loss: 2.2845461975097656 | Test Acc: 15.170000493526459%
Epoch: 3 | Epoch Time: 1m 54s
Train Loss: 2.261943790588379 | Train Acc: 16.633999347686768%
Test Loss: 2.2618811965942385 | Test Acc: 16.94999933242798%
Epoch: 4 | Epoch Time: 1m 52s
Train Loss: 2.2319606948852537 | Train Acc: 18.649999797344208%
Test Loss: 2.2317149276733397 | Test Acc: 18.970000743865967%
Epoch: 5 | Epoch Time: 2m 1s
Train Loss: 2.1970338845825195 | Train Acc: 19.954000413417816%
Test Loss: 2.196628730773926 | Test Acc: 20.389999449253082%
Epoch: 6 | Epoch Time: 1m 58s
Train Loss: 2.160630868225098 | Train Acc: 20.423999428749084%
Test Loss: 2.1600837127685546 | Test Acc: 20.79000025987625%
Epoch: 7 | Epoch Time: 1m 54s
Train Loss: 2.124195361022949 | Train Acc: 20.601999759674072%
Test Loss: 2.1234695083618162 | Test Acc: 20.669999718666077%
Epoch: 8 | Epoch Time: 1m 58s
Train Loss: 2.091715607910156 | Train Acc: 21.06200009584427%
Test Loss: 2.090754951477051 | Test Acc: 21.410000324249268%
Epoch: 9 | Epoch Time: 1m 55s
Train Loss: 2.0624739755249024 | Train Acc: 21.400000154972076%
Test Loss: 2.0614228759765627 | Test Acc: 21.8299999833107%
Epoch: 10 | Epoch Time: 1m 57s
Train Loss: 2.0324672998046873 | Train Acc: 21.682000160217285%
Test Loss: 2.031377001953125 | Test Acc: 21.860000491142273%
Epoch: 11 | Epoch Time: 1m 56s
Train Loss: 2.0078891506958008 | Train Acc: 22.485999763011932%
Test Loss: 2.00672116394043 | Test Acc: 22.429999709129333%
Epoch: 12 | Epoch Time: 1m 52s
Train Loss: 1.9852458923339844 | Train Acc: 23.161999881267548%
Test Loss: 1.984086720275879 | Test Acc: 23.37999939918518%
Epoch: 13 | Epoch Time: 1m 58s
Train Loss: 1.9658218759155273 | Train Acc: 23.785999417304993%
Test Loss: 1.9646511291503905 | Test Acc: 23.880000412464142%
Epoch: 14 | Epoch Time: 1m 54s
Train Loss: 1.9472028103637695 | Train Acc: 24.449999630451202%
Test Loss: 1.946141648864746 | Test Acc: 24.25999939441681%
Epoch: 15 | Epoch Time: 1m 57s
Train Loss: 1.931846042175293 | Train Acc: 24.597999453544617%
Test Loss: 1.93089461517334 | Test Acc: 24.729999899864197%
Epoch: 16 | Epoch Time: 1m 56s
Train Loss: 1.917281891784668 | Train Acc: 24.808000028133392%
Test Loss: 1.9164014953613282 | Test Acc: 24.819999933242798%
Epoch: 17 | Epoch Time: 1m 55s
Train Loss: 1.9031620050048828 | Train Acc: 24.90600049495697%
Test Loss: 1.902397789001465 | Test Acc: 24.84000027179718%
Epoch: 18 | Epoch Time: 1m 57s
Train Loss: 1.8926361645507812 | Train Acc: 25.181999802589417%
Test Loss: 1.891889469909668 | Test Acc: 25.22999942302704%
Epoch: 19 | Epoch Time: 1m 54s
Train Loss: 1.8805314785766603 | Train Acc: 25.81999897956848%
Test Loss: 1.8799122573852538 | Test Acc: 26.05000138282776%
Epoch: 20 | Epoch Time: 1m 57s
Train Loss: 1.8697224502563476 | Train Acc: 26.188001036643982%
Test Loss: 1.869282733154297 | Test Acc: 26.499998569488525%
Epoch: 21 | Epoch Time: 1m 57s
Train Loss: 1.8599537091064453 | Train Acc: 26.23400092124939%
Test Loss: 1.859671354675293 | Test Acc: 26.499998569488525%
Epoch: 22 | Epoch Time: 1m 54s
Train Loss: 1.8497041818237305 | Train Acc: 26.267999410629272%
Test Loss: 1.8495390258789062 | Test Acc: 26.260000467300415%
Epoch: 23 | Epoch Time: 1m 58s
Train Loss: 1.8421228775024414 | Train Acc: 26.155999302864075%
Test Loss: 1.8421079803466798 | Test Acc: 26.109999418258667%
Epoch: 24 | Epoch Time: 1m 55s
Train Loss: 1.8342047152709962 | Train Acc: 26.221999526023865%
Test Loss: 1.834385401916504 | Test Acc: 26.069998741149902%
Epoch: 25 | Epoch Time: 1m 56s
Train Loss: 1.8273134130859374 | Train Acc: 26.190000772476196%
Test Loss: 1.8277220581054687 | Test Acc: 25.859999656677246%
Epoch: 26 | Epoch Time: 1m 57s
Train Loss: 1.8198589419555664 | Train Acc: 26.513999700546265%
Test Loss: 1.820520489501953 | Test Acc: 26.23000144958496%
Epoch: 27 | Epoch Time: 1m 51s
Train Loss: 1.8136962884521484 | Train Acc: 26.583999395370483%
Test Loss: 1.8145710845947265 | Test Acc: 26.330000162124634%
Epoch: 28 | Epoch Time: 1m 58s
Train Loss: 1.807493434753418 | Train Acc: 26.704001426696777%
Test Loss: 1.808582974243164 | Test Acc: 26.53999924659729%
Epoch: 29 | Epoch Time: 1m 57s
Train Loss: 1.8018490133666991 | Train Acc: 26.236000657081604%
Test Loss: 1.8031374313354491 | Test Acc: 25.990000367164612%
Epoch: 30 | Epoch Time: 1m 54s
Train Loss: 1.795569278564453 | Train Acc: 26.256000995635986%
Test Loss: 1.7969957382202149 | Test Acc: 26.190000772476196%
Epoch: 31 | Epoch Time: 1m 56s
Train Loss: 1.7887023352050782 | Train Acc: 26.759999990463257%
Test Loss: 1.7903066864013673 | Test Acc: 26.719999313354492%
Epoch: 32 | Epoch Time: 1m 54s
Train Loss: 1.783092322692871 | Train Acc: 26.8559992313385%
Test Loss: 1.784836474609375 | Test Acc: 26.76999866962433%
Epoch: 33 | Epoch Time: 1m 58s
Train Loss: 1.7766931225585938 | Train Acc: 27.022001147270203%
Test Loss: 1.7786161804199219 | Test Acc: 27.129998803138733%
Epoch: 34 | Epoch Time: 1m 56s
Train Loss: 1.7708062850952149 | Train Acc: 26.99599862098694%
Test Loss: 1.7729206588745117 | Test Acc: 27.180001139640808%
Epoch: 35 | Epoch Time: 1m 55s
Train Loss: 1.765578490600586 | Train Acc: 27.01599895954132%
Test Loss: 1.7679251266479492 | Test Acc: 26.829999685287476%
Epoch: 36 | Epoch Time: 1m 59s
Train Loss: 1.7613927416992188 | Train Acc: 26.802000403404236%
Test Loss: 1.7639768569946288 | Test Acc: 26.5500009059906%
Epoch: 37 | Epoch Time: 1m 55s
Train Loss: 1.7563660549926758 | Train Acc: 26.850000023841858%
Test Loss: 1.7591172012329102 | Test Acc: 26.649999618530273%
Epoch: 38 | Epoch Time: 1m 57s
Train Loss: 1.752014501953125 | Train Acc: 26.914000511169434%
Test Loss: 1.7549853958129882 | Test Acc: 26.69999897480011%
Epoch: 39 | Epoch Time: 1m 58s
Train Loss: 1.7468986779785156 | Train Acc: 26.820001006126404%
Test Loss: 1.7501604782104492 | Test Acc: 26.879999041557312%
Epoch: 40 | Epoch Time: 1m 55s
Train Loss: 1.7431061932373046 | Train Acc: 26.969999074935913%
Test Loss: 1.746740057373047 | Test Acc: 27.03000009059906%
Epoch: 41 | Epoch Time: 1m 58s
Train Loss: 1.7381368786621094 | Train Acc: 27.055999636650085%
Test Loss: 1.7420550231933594 | Test Acc: 27.02000141143799%
Epoch: 42 | Epoch Time: 1m 54s
Train Loss: 1.734146789855957 | Train Acc: 27.230000495910645%
Test Loss: 1.7384590133666993 | Test Acc: 27.27000117301941%
Epoch: 43 | Epoch Time: 1m 55s
Train Loss: 1.7289709231567383 | Train Acc: 27.274000644683838%
Test Loss: 1.7336513778686524 | Test Acc: 27.309998869895935%
Epoch: 44 | Epoch Time: 1m 58s
Train Loss: 1.723231096801758 | Train Acc: 27.68400013446808%
Test Loss: 1.7283122802734374 | Test Acc: 27.84999907016754%
Epoch: 45 | Epoch Time: 1m 47s
Train Loss: 1.721012901916504 | Train Acc: 27.51399874687195%
Test Loss: 1.7264736892700194 | Test Acc: 27.549999952316284%
Epoch: 46 | Epoch Time: 2m 0s
Train Loss: 1.718172184753418 | Train Acc: 27.3499995470047%
Test Loss: 1.7242065063476562 | Test Acc: 27.41999924182892%
Epoch: 47 | Epoch Time: 1m 56s
Train Loss: 1.7145892468261719 | Train Acc: 27.428001165390015%
Test Loss: 1.721092448425293 | Test Acc: 27.239999175071716%
Epoch: 48 | Epoch Time: 1m 57s
Train Loss: 1.7090111767578124 | Train Acc: 27.858000993728638%
Test Loss: 1.7160951293945312 | Test Acc: 27.790001034736633%
Epoch: 49 | Epoch Time: 0m 50s
Train Loss: 1.7073197396850586 | Train Acc: 27.50599980354309%
Test Loss: 1.7148201049804688 | Test Acc: 27.36000120639801%
Epoch: 50 | Epoch Time: 0m 58s
Train Loss: 1.706607289428711 | Train Acc: 27.355998754501343%
Test Loss: 1.714522102355957 | Test Acc: 27.12000012397766%
Epoch: 51 | Epoch Time: 1m 16s
Train Loss: 1.7059008361816406 | Train Acc: 27.12799906730652%
