Namespace(action=8, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'bf', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': -5.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Tue May  7 04:18:40 2024]======================
Epoch: 1 | Epoch Time: 0m 39s
Epoch: 34 | Epoch Time: 0m 37s
Train Loss: 1.6931164791870117 | Train Acc: 41.760000586509705%
Test Loss: 1.707897380065918 | Test Acc: 41.600000858306885%
Epoch: 35 | Epoch Time: 0m 37s
Train Loss: 1.6950202389526368 | Train Acc: 42.193999886512756%
Test Loss: 1.70992666015625 | Test Acc: 42.05999970436096%
Epoch: 36 | Epoch Time: 0m 37s
Train Loss: 1.7017188595581054 | Train Acc: 42.73200035095215%
Test Loss: 1.7175003372192383 | Test Acc: 42.50999987125397%
Epoch: 37 | Epoch Time: 0m 38s
Train Loss: 1.7299640167236328 | Train Acc: 42.809998989105225%
Test Loss: 1.7458530136108399 | Test Acc: 42.080000042915344%
Epoch: 38 | Epoch Time: 0m 37s
Train Loss: 1.753560866394043 | Train Acc: 42.97400116920471%
Test Loss: 1.7710445068359375 | Test Acc: 42.089998722076416%
Epoch: 39 | Epoch Time: 0m 38s
Train Loss: 1.7785656588745118 | Train Acc: 43.16200017929077%
Test Loss: 1.797087808227539 | Test Acc: 42.089998722076416%
Epoch: 40 | Epoch Time: 0m 37s
Train Loss: 1.8112553302001952 | Train Acc: 43.136000633239746%
Test Loss: 1.8316996856689454 | Test Acc: 42.19000041484833%
Epoch: 41 | Epoch Time: 0m 37s
Train Loss: 1.8821293350219725 | Train Acc: 42.6939994096756%
Test Loss: 1.9025889862060548 | Test Acc: 41.440001130104065%
Epoch: 42 | Epoch Time: 0m 38s
Train Loss: 1.928439962463379 | Train Acc: 42.93400049209595%
Test Loss: 1.9504937789916992 | Test Acc: 41.850000619888306%
Epoch: 43 | Epoch Time: 0m 37s
Train Loss: 1.975945378112793 | Train Acc: 43.15199851989746%
Test Loss: 1.9989288711547852 | Test Acc: 41.83000028133392%
Epoch: 44 | Epoch Time: 0m 38s
Train Loss: 1.9683997766113281 | Train Acc: 43.059998750686646%
Test Loss: 1.9884513977050782 | Test Acc: 41.589999198913574%
Epoch: 45 | Epoch Time: 0m 37s
Train Loss: 2.043444725341797 | Train Acc: 42.976000905036926%
Test Loss: 2.066492481994629 | Test Acc: 41.62999987602234%
Epoch: 46 | Epoch Time: 0m 37s
Train Loss: 2.117293732910156 | Train Acc: 43.031999468803406%
Test Loss: 2.142381394958496 | Test Acc: 41.49999916553497%
Epoch: 47 | Epoch Time: 0m 37s
Train Loss: 2.1849530795288086 | Train Acc: 43.09000074863434%
Test Loss: 2.211411003112793 | Test Acc: 41.72999858856201%
Epoch: 48 | Epoch Time: 0m 37s
Train Loss: 2.249066696472168 | Train Acc: 43.07799935340881%
Test Loss: 2.2765709777832033 | Test Acc: 41.749998927116394%
Epoch: 49 | Epoch Time: 0m 38s
Train Loss: 2.258879700012207 | Train Acc: 43.2559996843338%
Test Loss: 2.289375064086914 | Test Acc: 42.30000078678131%
Epoch: 50 | Epoch Time: 0m 37s
Train Loss: 2.3024131381225588 | Train Acc: 43.09200048446655%
Test Loss: 2.3320940689086913 | Test Acc: 41.94999933242798%
Epoch: 51 | Epoch Time: 0m 37s
Train Loss: 2.380844365539551 | Train Acc: 43.12399923801422%
Test Loss: 2.4121157318115234 | Test Acc: 41.98000133037567%
Epoch: 52 | Epoch Time: 0m 38s
Train Loss: 2.4552872991943357 | Train Acc: 43.11000108718872%
Test Loss: 2.4882866821289062 | Test Acc: 41.94000065326691%
Epoch: 53 | Epoch Time: 0m 37s
Train Loss: 2.527200712890625 | Train Acc: 43.08199882507324%
Test Loss: 2.5618526779174804 | Test Acc: 42.080000042915344%
Epoch: 54 | Epoch Time: 0m 37s
Train Loss: 2.5965097122192384 | Train Acc: 42.98799932003021%
Test Loss: 2.632609539794922 | Test Acc: 42.10000038146973%
Epoch: 55 | Epoch Time: 0m 38s
Train Loss: 2.6598882345581054 | Train Acc: 42.9500013589859%
Test Loss: 2.6974420440673827 | Test Acc: 41.99000000953674%
Epoch: 56 | Epoch Time: 0m 37s
Train Loss: 2.7204791006469726 | Train Acc: 42.94799864292145%
Test Loss: 2.759443553161621 | Test Acc: 42.07000136375427%
Epoch: 57 | Epoch Time: 0m 38s
Train Loss: 2.7782439453125 | Train Acc: 42.952001094818115%
Test Loss: 2.8186421020507813 | Test Acc: 42.12000072002411%
Epoch: 58 | Epoch Time: 0m 37s
Train Loss: 2.83290725402832 | Train Acc: 42.90800094604492%
Test Loss: 2.8744675064086915 | Test Acc: 42.080000042915344%
Epoch: 59 | Epoch Time: 0m 37s
Train Loss: 2.884829872741699 | Train Acc: 42.85799860954285%
Test Loss: 2.9275236068725587 | Test Acc: 41.94999933242798%
Epoch: 60 | Epoch Time: 0m 37s
Train Loss: 2.93390412689209 | Train Acc: 42.81800091266632%
Test Loss: 2.977721905517578 | Test Acc: 41.85999929904938%
Epoch: 61 | Epoch Time: 0m 37s
Train Loss: 2.978969568786621 | Train Acc: 42.77200102806091%
Test Loss: 3.024001840209961 | Test Acc: 41.85999929904938%
Epoch: 62 | Epoch Time: 0m 38s
Train Loss: 3.0224328002929686 | Train Acc: 42.72400140762329%
Test Loss: 3.068439131164551 | Test Acc: 41.87999963760376%
Epoch: 63 | Epoch Time: 0m 37s
Train Loss: 3.062667619018555 | Train Acc: 42.73799955844879%
Test Loss: 3.109420362854004 | Test Acc: 41.850000619888306%
Epoch: 64 | Epoch Time: 0m 38s
Train Loss: 3.1013159497070313 | Train Acc: 42.72199869155884%
Test Loss: 3.1486856552124025 | Test Acc: 41.850000619888306%
