Namespace(action=8, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'bf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': -1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 16:55:49 2024]======================
Epoch: 1 | Epoch Time: 2m 9s
Train Loss: 2.302212214050293 | Train Acc: 10.000000149011612%
Test Loss: 2.302298971557617 | Test Acc: 10.000000149011612%
Epoch: 2 | Epoch Time: 1m 34s
Train Loss: 2.301060394592285 | Train Acc: 9.997999668121338%
Test Loss: 2.3011415588378905 | Test Acc: 9.98999997973442%
Epoch: 3 | Epoch Time: 0m 48s
Train Loss: 2.2995358978271483 | Train Acc: 9.997999668121338%
Test Loss: 2.299602445983887 | Test Acc: 9.98999997973442%
Epoch: 4 | Epoch Time: 0m 47s
Train Loss: 2.297705940246582 | Train Acc: 10.063999891281128%
Test Loss: 2.297752207946777 | Test Acc: 10.029999911785126%
Epoch: 5 | Epoch Time: 0m 48s
Train Loss: 2.2955420205688477 | Train Acc: 10.911999642848969%
Test Loss: 2.2955622970581055 | Test Acc: 10.88000014424324%
Epoch: 6 | Epoch Time: 0m 49s
Train Loss: 2.293251165466309 | Train Acc: 12.219999730587006%
Test Loss: 2.2932375579833986 | Test Acc: 12.200000137090683%
Epoch: 7 | Epoch Time: 0m 48s
Train Loss: 2.290374234313965 | Train Acc: 14.000000059604645%
Test Loss: 2.290331965637207 | Test Acc: 14.159999787807465%
Epoch: 8 | Epoch Time: 0m 47s
Train Loss: 2.2872335635375975 | Train Acc: 15.255999565124512%
Test Loss: 2.2871580932617186 | Test Acc: 15.719999372959137%
Epoch: 9 | Epoch Time: 0m 47s
Train Loss: 2.2834838916015623 | Train Acc: 16.891999542713165%
Test Loss: 2.2833658554077148 | Test Acc: 17.76999980211258%
Epoch: 10 | Epoch Time: 0m 48s
Train Loss: 2.2797437036132813 | Train Acc: 18.00599992275238%
Test Loss: 2.2795754135131836 | Test Acc: 18.889999389648438%
Epoch: 11 | Epoch Time: 0m 47s
Train Loss: 2.2751532391357423 | Train Acc: 19.29199993610382%
Test Loss: 2.274930792236328 | Test Acc: 19.910000264644623%
Epoch: 12 | Epoch Time: 0m 47s
Train Loss: 2.270256252746582 | Train Acc: 19.901999831199646%
Test Loss: 2.26999220123291 | Test Acc: 20.440000295639038%
Epoch: 13 | Epoch Time: 0m 48s
Train Loss: 2.2653278775024415 | Train Acc: 20.520000159740448%
Test Loss: 2.2649930252075197 | Test Acc: 20.990000665187836%
Epoch: 14 | Epoch Time: 0m 54s
Train Loss: 2.2599558682250978 | Train Acc: 21.070000529289246%
Test Loss: 2.259546612548828 | Test Acc: 21.60000056028366%
Epoch: 15 | Epoch Time: 0m 54s
Train Loss: 2.253778734741211 | Train Acc: 21.70799970626831%
Test Loss: 2.253321974182129 | Test Acc: 22.120000422000885%
Epoch: 16 | Epoch Time: 0m 53s
Train Loss: 2.2478849639892577 | Train Acc: 22.105999290943146%
Test Loss: 2.2473568115234377 | Test Acc: 22.599999606609344%
Epoch: 17 | Epoch Time: 0m 55s
Train Loss: 2.2415440216064453 | Train Acc: 22.643999755382538%
Test Loss: 2.2409413681030275 | Test Acc: 23.019999265670776%
Epoch: 18 | Epoch Time: 0m 54s
