acc,loss
0.1,2.302212214050293
0.09998,2.301060394592285
0.09998,2.2995358978271483
0.10064,2.297705940246582
0.10912,2.2955420205688477
0.1222,2.293251165466309
0.14,2.290374234313965
0.15256,2.2872335635375975
0.16892,2.2834838916015623
0.18006,2.2797437036132813
0.19292,2.2751532391357423
0.19902,2.270256252746582
0.2052,2.2653278775024415
0.2107,2.2599558682250978
0.21708,2.253778734741211
0.22106,2.2478849639892577
0.22644,2.2415440216064453
0.23182,2.234578292541504
0.23578,2.2274777575683595
0.24038,2.220863345336914
0.24518,2.2131202474975584
0.25112,2.2058038500976562
0.25774,2.197055294494629
0.26416,2.188567995300293
0.26862,2.180285773010254
0.2701,2.173515588989258
0.2724,2.1640169024658205
0.27584,2.155730444946289
0.2794,2.1466846481323243
0.28254,2.1380046954345704
0.2868,2.1291271328735353
0.29106,2.119312078857422
0.29404,2.110062056274414
0.29464,2.1021795620727537
0.29676,2.094106126708984
0.30046,2.0855962969970703
0.30132,2.077941911315918
0.30184,2.0689499908447266
0.3042,2.058554393310547
0.30486,2.053207509765625
0.3074,2.044333478088379
0.30782,2.036425288391113
0.30974,2.028118405456543
0.31104,2.02107100982666
0.31348,2.0136890048217775
0.31306,2.0085043814086916
0.31434,2.001353779602051
0.31484,1.9948906292724609
0.31582,1.9874191122436524
0.31808,1.9788562936401368
0.32056,1.9704566232299805
0.32388,1.960929169921875
0.3255,1.9540417654418945
0.32864,1.9451990005493165
0.3307,1.9379757174682617
0.33178,1.9307347387695313
0.33138,1.9253207836914064
0.33364,1.9165453106689454
0.33544,1.907878550720215
0.33678,1.9010521481323241
0.33668,1.8957651983642578
0.33718,1.891642333984375
0.34,1.8831091275024414
0.34166,1.8778717135620118
0.34298,1.8712400573730468
0.3439,1.8649875161743164
0.34504,1.858942763671875
0.34678,1.8508675430297852
0.34972,1.8450673873901366
0.3508,1.8383438436889648
0.35088,1.8349938882446288
0.3534,1.8285270062255858
0.35454,1.8238966696166992
0.35508,1.8178770822143555
0.35378,1.8170915139770507
0.3543,1.8123161795043945
0.354,1.811224161376953
0.35512,1.80572923828125
0.35566,1.8023332479858398
0.3572,1.7966213177490233
0.35906,1.7904373803710938
0.35958,1.7865845797729492
0.35912,1.7855305490112305
0.35952,1.7824379043579102
0.3622,1.7758553720092773
0.36382,1.7714022326660157
0.3653,1.7669690097045898
0.36522,1.7652266592407226
0.3659,1.7625764056396485
0.36636,1.7598717626953124
0.36678,1.7565643014526366
0.36764,1.7520787466430665
0.3683,1.749692208251953
0.36866,1.7470140521240234
0.3697,1.7431775839233399
0.3705,1.739181300048828
0.37098,1.7381052011108398
0.3714,1.736778759765625
0.37212,1.7333844909667968
0.37284,1.7318415686035156
