acc,loss
0.14306,2.295364351501465
0.1672,2.278213395690918
0.20646,2.2491009356689453
0.25474,2.2110246142578127
0.30022,2.168633085632324
0.32252,2.1263513290405274
0.3319,2.0775401873779296
0.33492,2.0335196685791015
0.35008,1.974245855102539
0.35924,1.9242686462402343
0.36642,1.8744951132202148
0.3671,1.8360648147583007
0.36422,1.80556369140625
0.37544,1.768377557373047
0.38104,1.7395039889526367
0.3878,1.7163374102783202
0.39438,1.7012541607666016
0.39744,1.6794931784057616
0.40022,1.6616100787353516
0.40594,1.6425443148803711
0.40738,1.6396849298095704
0.41256,1.6272811737060546
0.41658,1.619280779724121
0.41888,1.6203967529296874
0.4129,1.637010785217285
0.41868,1.6306310458374023
0.42536,1.6245428839111329
0.42826,1.629135466003418
0.42832,1.6462681680297853
0.4308,1.6675591403198242
0.43048,1.666347635192871
0.43304,1.6885363970947265
0.4345,1.6979838943481445
0.4371,1.7012574090576171
0.4372,1.737880566101074
0.43716,1.7538095303344727
0.43864,1.786956720275879
0.43922,1.8533297311401367
0.44006,1.8860404440307617
0.43836,1.9732773483276367
0.44008,2.02103998046875
0.4405,2.0543189138793947
0.44072,2.1265250469970702
0.441,2.1665302600097656
0.44046,2.19611904876709
0.43968,2.2377211840820315
0.43964,2.3000494100952147
0.43956,2.3779480078125
0.4401,2.450443190612793
0.43998,2.4950403549194338
0.43974,2.5532246215820313
0.44008,2.6178123080444338
0.43986,2.6805069372558594
0.43968,2.740701388244629
0.43956,2.7956454400634767
0.43958,2.848299450073242
0.43938,2.8977701724243166
0.4393,2.944173554992676
0.43896,2.9884216494750975
0.4386,3.029615544433594
0.43858,3.069809012451172
0.43854,3.107364842529297
0.43804,3.142023429260254
0.43748,3.174536644897461
0.4372,3.206210066833496
0.4372,3.2358620678710937
0.4368,3.26519558013916
0.43704,3.2922543298339844
0.43712,3.318417461242676
0.43682,3.3433213793945313
0.43654,3.3665245556640624
0.43656,3.3894370471191406
0.43652,3.4114528735351564
0.43628,3.4321930752563476
0.43614,3.452239103088379
0.4363,3.4715986511230468
0.43636,3.489798978271484
0.43642,3.507514443054199
0.43638,3.5244362838745116
0.43642,3.541370504760742
0.4363,3.557179967956543
0.4362,3.5722498010253907
0.43588,3.587249476928711
0.43584,3.601912518310547
0.43568,3.6152742474365236
0.43544,3.6287481524658203
0.4355,3.6414322955322267
0.43548,3.6543299893188474
0.43556,3.667012880554199
0.43546,3.6789146844482423
0.43544,3.6904499365234376
0.43534,3.7014992053222655
0.4352,3.712706311340332
0.43506,3.723333608703613
0.43512,3.7339890826416013
0.4352,3.744114595336914
0.43514,3.753984512023926
0.43502,3.7635477783203126
0.43502,3.772886798706055
0.43506,3.782001274719238
