Namespace(action=10, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'bf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': -10.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Mon May  6 05:18:12 2024]======================
Epoch: 1 | Epoch Time: 0m 46s
Train Loss: 2.3072820281982422 | Train Acc: 10.000000149011612%
Test Loss: 2.307301513671875 | Test Acc: 10.000000149011612%
Epoch: 2 | Epoch Time: 0m 47s
Train Loss: 2.3106293502807618 | Train Acc: 10.000000149011612%
Test Loss: 2.310642219543457 | Test Acc: 10.000000149011612%
Epoch: 3 | Epoch Time: 0m 47s
Train Loss: 2.3161906622314454 | Train Acc: 10.000000149011612%
Test Loss: 2.316216195678711 | Test Acc: 10.000000149011612%
Epoch: 4 | Epoch Time: 0m 46s
Train Loss: 2.326490477600098 | Train Acc: 10.000000149011612%
Test Loss: 2.326515562438965 | Test Acc: 10.000000149011612%
Epoch: 5 | Epoch Time: 0m 46s
Train Loss: 2.347012924194336 | Train Acc: 10.000000149011612%
Test Loss: 2.3470536849975585 | Test Acc: 10.000000149011612%
Epoch: 6 | Epoch Time: 0m 46s
Train Loss: 2.3920284518432617 | Train Acc: 10.000000149011612%
Test Loss: 2.392127388000488 | Test Acc: 10.000000149011612%
Epoch: 7 | Epoch Time: 0m 47s
Train Loss: 2.5062983590698242 | Train Acc: 10.000000149011612%
Test Loss: 2.5065320404052733 | Test Acc: 10.000000149011612%
Epoch: 8 | Epoch Time: 0m 46s
Train Loss: 2.8758461276245115 | Train Acc: 10.000000149011612%
Test Loss: 2.877083627319336 | Test Acc: 10.000000149011612%
Epoch: 9 | Epoch Time: 0m 47s
