Namespace(action=3, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'lf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 14, 'attack_strength': 1.0, 'k': 1, 'test_frequency': 1}
======================Start Train Model [Sat May  4 23:52:31 2024]======================
Epoch: 1 | Epoch Time: 0m 54s
Train Loss: 2.2987558325195314 | Train Acc: 13.142000138759613%
Test Loss: 2.298854821777344 | Test Acc: 13.089999556541443%
Epoch: 2 | Epoch Time: 0m 54s
Train Loss: 2.287268026123047 | Train Acc: 13.65399956703186%
Test Loss: 2.2873869689941406 | Test Acc: 14.010000228881836%
Epoch: 3 | Epoch Time: 0m 55s
Train Loss: 2.2688661608886718 | Train Acc: 13.138000667095184%
Test Loss: 2.268931028747559 | Test Acc: 13.48000019788742%
Epoch: 4 | Epoch Time: 0m 55s
Train Loss: 2.243753647766113 | Train Acc: 13.145999610424042%
Test Loss: 2.2437628967285157 | Test Acc: 13.240000605583191%
Epoch: 5 | Epoch Time: 0m 54s
Train Loss: 2.216255098876953 | Train Acc: 12.941999733448029%
Test Loss: 2.2161082534790038 | Test Acc: 12.790000438690186%
Epoch: 6 | Epoch Time: 0m 53s
Train Loss: 2.187625577697754 | Train Acc: 12.319999933242798%
Test Loss: 2.1873106216430664 | Test Acc: 12.309999763965607%
Epoch: 7 | Epoch Time: 0m 53s
Train Loss: 2.160470172729492 | Train Acc: 11.77000030875206%
Test Loss: 2.160066404724121 | Test Acc: 11.710000038146973%
Epoch: 8 | Epoch Time: 0m 53s
Train Loss: 2.132433515625 | Train Acc: 11.606000363826752%
Test Loss: 2.132012515258789 | Test Acc: 11.469999700784683%
Epoch: 9 | Epoch Time: 0m 53s
Train Loss: 2.1103888192749025 | Train Acc: 11.525999754667282%
Test Loss: 2.109920050048828 | Test Acc: 11.379999667406082%
Epoch: 10 | Epoch Time: 0m 53s
Train Loss: 2.0913628103637696 | Train Acc: 11.593999713659286%
Test Loss: 2.090927880859375 | Test Acc: 11.52999997138977%
Epoch: 11 | Epoch Time: 0m 54s
Train Loss: 2.0756257385253907 | Train Acc: 11.66599988937378%
Test Loss: 2.0752193923950197 | Test Acc: 11.43999993801117%
Epoch: 12 | Epoch Time: 0m 52s
Train Loss: 2.061507515563965 | Train Acc: 11.507999897003174%
Test Loss: 2.0612032287597657 | Test Acc: 11.36000007390976%
Epoch: 13 | Epoch Time: 0m 53s
Train Loss: 2.0528874044799803 | Train Acc: 11.20000034570694%
Test Loss: 2.0526947723388673 | Test Acc: 11.140000075101852%
Epoch: 14 | Epoch Time: 0m 52s
Train Loss: 2.0466488369750975 | Train Acc: 11.032000184059143%
Test Loss: 2.0466427566528322 | Test Acc: 11.060000211000443%
Epoch: 15 | Epoch Time: 0m 55s
Train Loss: 2.0431173745727538 | Train Acc: 10.875999927520752%
Test Loss: 2.0432924362182616 | Test Acc: 11.010000109672546%
Epoch: 16 | Epoch Time: 0m 52s
Train Loss: 2.040183669128418 | Train Acc: 10.744000226259232%
Test Loss: 2.040570057678223 | Test Acc: 11.079999804496765%
Epoch: 17 | Epoch Time: 0m 53s
Train Loss: 2.039098843078613 | Train Acc: 10.546000301837921%
Test Loss: 2.0397054718017578 | Test Acc: 10.809999704360962%
Epoch: 18 | Epoch Time: 0m 53s
Train Loss: 2.039813106994629 | Train Acc: 10.373999923467636%
Test Loss: 2.0406679244995116 | Test Acc: 10.599999874830246%
Epoch: 19 | Epoch Time: 0m 52s
Train Loss: 2.0414610272216795 | Train Acc: 10.305999964475632%
Test Loss: 2.042604649353027 | Test Acc: 10.480000078678131%
Epoch: 20 | Epoch Time: 0m 52s
Train Loss: 2.0446624938964844 | Train Acc: 10.06999984383583%
Test Loss: 2.0461064910888673 | Test Acc: 10.339999943971634%
Epoch: 21 | Epoch Time: 0m 51s
Train Loss: 2.0465793365478517 | Train Acc: 10.06999984383583%
Test Loss: 2.0483294662475586 | Test Acc: 10.239999741315842%
Epoch: 22 | Epoch Time: 0m 55s
Train Loss: 2.0500627947998047 | Train Acc: 9.824000298976898%
Test Loss: 2.0521681549072266 | Test Acc: 10.000000149011612%
Epoch: 23 | Epoch Time: 0m 52s
Train Loss: 2.054256718444824 | Train Acc: 9.769999980926514%
Test Loss: 2.0567614303588866 | Test Acc: 9.780000150203705%
Epoch: 24 | Epoch Time: 0m 54s
Train Loss: 2.0567874258422854 | Train Acc: 9.7680002450943%
Test Loss: 2.059695388793945 | Test Acc: 9.89999994635582%
Epoch: 25 | Epoch Time: 0m 52s
Train Loss: 2.0605470147705076 | Train Acc: 9.707999974489212%
Test Loss: 2.0638376358032224 | Test Acc: 9.700000286102295%
Epoch: 26 | Epoch Time: 0m 54s
Train Loss: 2.064445080566406 | Train Acc: 9.616000205278397%
Test Loss: 2.0681563278198243 | Test Acc: 9.619999676942825%
Epoch: 27 | Epoch Time: 0m 58s
