Namespace(action=3, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'lf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 1, 'test_frequency': 1}
======================Start Train Model [Sat May  4 16:22:31 2024]======================
Epoch: 1 | Epoch Time: 0m 51s
Train Loss: 1.6779338436889648 | Train Acc: 42.67599880695343%
Test Loss: 1.6750761459350585 | Test Acc: 42.35999882221222%
Epoch: 33 | Epoch Time: 1m 0s
Train Loss: 1.6695062548828126 | Train Acc: 43.10599863529205%
Test Loss: 1.6667489334106445 | Test Acc: 42.71000027656555%
Epoch: 34 | Epoch Time: 1m 1s
Train Loss: 1.6606684979248048 | Train Acc: 43.31600069999695%
Test Loss: 1.657897203063965 | Test Acc: 42.93000102043152%
Epoch: 35 | Epoch Time: 1m 2s
Train Loss: 1.6530802102661133 | Train Acc: 43.62199902534485%
Test Loss: 1.6503744186401368 | Test Acc: 43.41000020503998%
Epoch: 36 | Epoch Time: 0m 59s
Train Loss: 1.645952020263672 | Train Acc: 43.80800127983093%
Test Loss: 1.643347103881836 | Test Acc: 43.65000128746033%
Epoch: 37 | Epoch Time: 1m 3s
Train Loss: 1.6380614923095702 | Train Acc: 44.05199885368347%
Test Loss: 1.6354712158203124 | Test Acc: 43.99999976158142%
Epoch: 38 | Epoch Time: 1m 0s
Train Loss: 1.63020474609375 | Train Acc: 44.317999482154846%
Test Loss: 1.6277503662109376 | Test Acc: 44.33000087738037%
Epoch: 39 | Epoch Time: 0m 59s
Train Loss: 1.6233577780151367 | Train Acc: 44.613999128341675%
Test Loss: 1.621068800354004 | Test Acc: 44.80000138282776%
Epoch: 40 | Epoch Time: 1m 4s
Train Loss: 1.6164745468139647 | Train Acc: 44.80400085449219%
Test Loss: 1.6144055282592773 | Test Acc: 44.83000040054321%
Epoch: 41 | Epoch Time: 0m 55s
Train Loss: 1.6095533883666993 | Train Acc: 45.212000608444214%
Test Loss: 1.6076438888549804 | Test Acc: 45.1200008392334%
Epoch: 42 | Epoch Time: 1m 24s
Train Loss: 1.60375013671875 | Train Acc: 45.5159991979599%
Test Loss: 1.6020703750610352 | Test Acc: 45.19000053405762%
Epoch: 43 | Epoch Time: 1m 46s
Train Loss: 1.5962314053344726 | Train Acc: 45.63399851322174%
Test Loss: 1.5947721572875977 | Test Acc: 45.590001344680786%
Epoch: 44 | Epoch Time: 1m 21s
Train Loss: 1.5889203674316406 | Train Acc: 45.81800103187561%
Test Loss: 1.5876809478759766 | Test Acc: 45.84000110626221%
Epoch: 45 | Epoch Time: 1m 25s
Train Loss: 1.5842741104125977 | Train Acc: 46.02400064468384%
Test Loss: 1.5833640640258788 | Test Acc: 45.980000495910645%
Epoch: 46 | Epoch Time: 1m 32s
Train Loss: 1.5790196286010743 | Train Acc: 46.18600010871887%
Test Loss: 1.578428286743164 | Test Acc: 46.20000123977661%
Epoch: 47 | Epoch Time: 1m 28s
Train Loss: 1.5735707205200196 | Train Acc: 46.281999349594116%
Test Loss: 1.5732204467773439 | Test Acc: 46.02000117301941%
Epoch: 48 | Epoch Time: 1m 31s
Train Loss: 1.566949689025879 | Train Acc: 46.38000130653381%
Test Loss: 1.5669325149536133 | Test Acc: 46.3699996471405%
Epoch: 49 | Epoch Time: 1m 32s
Train Loss: 1.5622542501831054 | Train Acc: 46.52799963951111%
Test Loss: 1.562697442626953 | Test Acc: 46.309998631477356%
Epoch: 50 | Epoch Time: 1m 29s
Train Loss: 1.5558826550292968 | Train Acc: 46.81999981403351%
Test Loss: 1.5566623916625977 | Test Acc: 46.65000140666962%
Epoch: 51 | Epoch Time: 1m 29s
Train Loss: 1.5497666839599609 | Train Acc: 46.93799912929535%
Test Loss: 1.5509891647338867 | Test Acc: 46.57000005245209%
Epoch: 52 | Epoch Time: 1m 30s
Train Loss: 1.5437421905517579 | Train Acc: 47.28200137615204%
Test Loss: 1.5453920516967774 | Test Acc: 46.619999408721924%
Epoch: 53 | Epoch Time: 1m 27s
Train Loss: 1.5392424557495117 | Train Acc: 47.332000732421875%
Test Loss: 1.5414428344726563 | Test Acc: 46.66999876499176%
Epoch: 54 | Epoch Time: 1m 31s
Train Loss: 1.5349229959106445 | Train Acc: 47.34199941158295%
Test Loss: 1.5377312957763671 | Test Acc: 46.83000147342682%
Epoch: 55 | Epoch Time: 1m 28s
Train Loss: 1.528071658935547 | Train Acc: 47.624000906944275%
Test Loss: 1.531570310974121 | Test Acc: 46.99999988079071%
Epoch: 56 | Epoch Time: 1m 32s
Train Loss: 1.5217181948852538 | Train Acc: 47.87000119686127%
Test Loss: 1.5260355697631836 | Test Acc: 47.440001368522644%
Epoch: 57 | Epoch Time: 1m 28s
Train Loss: 1.51818369720459 | Train Acc: 47.77800142765045%
Test Loss: 1.5231616165161133 | Test Acc: 47.290000319480896%
Epoch: 58 | Epoch Time: 1m 31s
Train Loss: 1.5142484783935546 | Train Acc: 47.86800146102905%
Test Loss: 1.520004711151123 | Test Acc: 47.49000072479248%
Epoch: 59 | Epoch Time: 1m 32s
Train Loss: 1.5079034796142579 | Train Acc: 48.04399907588959%
Test Loss: 1.514551390838623 | Test Acc: 47.58999943733215%
Epoch: 60 | Epoch Time: 1m 39s
Train Loss: 1.504493575439453 | Train Acc: 48.16200137138367%
Test Loss: 1.5117461097717284 | Test Acc: 47.71000146865845%
Epoch: 61 | Epoch Time: 2m 12s
Train Loss: 1.4997851123046875 | Train Acc: 48.24199974536896%
Test Loss: 1.5080815673828125 | Test Acc: 47.609999775886536%
Epoch: 62 | Epoch Time: 1m 36s
Train Loss: 1.4959993617248535 | Train Acc: 48.28599989414215%
Test Loss: 1.5054731300354003 | Test Acc: 47.600001096725464%
Epoch: 63 | Epoch Time: 1m 34s
Train Loss: 1.492954891204834 | Train Acc: 48.39800000190735%
Test Loss: 1.5032436042785644 | Test Acc: 47.56999909877777%
Epoch: 64 | Epoch Time: 1m 27s
Train Loss: 1.4893257565307618 | Train Acc: 48.339998722076416%
Test Loss: 1.5006377113342284 | Test Acc: 47.63000011444092%
Epoch: 65 | Epoch Time: 1m 27s
Train Loss: 1.4856648728942872 | Train Acc: 48.385998606681824%
Test Loss: 1.498075301361084 | Test Acc: 47.679999470710754%
Epoch: 66 | Epoch Time: 1m 30s
Train Loss: 1.4808274447631835 | Train Acc: 48.50800037384033%
Test Loss: 1.4941904067993164 | Test Acc: 47.63999879360199%
Epoch: 67 | Epoch Time: 1m 37s
Train Loss: 1.4769025688171387 | Train Acc: 48.5480010509491%
Test Loss: 1.4912043685913086 | Test Acc: 47.69999980926514%
Epoch: 68 | Epoch Time: 1m 26s
Train Loss: 1.4749107647705078 | Train Acc: 48.576000332832336%
Test Loss: 1.4902652053833008 | Test Acc: 47.609999775886536%
Epoch: 69 | Epoch Time: 1m 35s
Train Loss: 1.4729008215332031 | Train Acc: 48.50600063800812%
Test Loss: 1.489514015197754 | Test Acc: 47.42999970912933%
Epoch: 70 | Epoch Time: 1m 23s
Train Loss: 1.4687984565734864 | Train Acc: 48.697999119758606%
Test Loss: 1.4867562812805175 | Test Acc: 47.690001130104065%
Epoch: 71 | Epoch Time: 1m 22s
Train Loss: 1.4660288198852538 | Train Acc: 48.75600039958954%
Test Loss: 1.4851432754516602 | Test Acc: 47.81000018119812%
Epoch: 72 | Epoch Time: 1m 37s
Train Loss: 1.4653326724243163 | Train Acc: 48.74599874019623%
Test Loss: 1.48552654876709 | Test Acc: 47.600001096725464%
Epoch: 73 | Epoch Time: 1m 30s
Train Loss: 1.462314875793457 | Train Acc: 48.80400002002716%
Test Loss: 1.4839296127319337 | Test Acc: 47.72999882698059%
Epoch: 74 | Epoch Time: 1m 29s
Train Loss: 1.4582703338623046 | Train Acc: 48.927998542785645%
Test Loss: 1.4810523338317871 | Test Acc: 47.81999886035919%
Epoch: 75 | Epoch Time: 1m 27s
Train Loss: 1.456883427886963 | Train Acc: 48.97800087928772%
Test Loss: 1.4809117439270019 | Test Acc: 47.760000824928284%
Epoch: 76 | Epoch Time: 1m 45s
Train Loss: 1.4564450494384766 | Train Acc: 48.88199865818024%
Test Loss: 1.4815822425842284 | Test Acc: 47.63999879360199%
Epoch: 77 | Epoch Time: 1m 49s
Train Loss: 1.451849186706543 | Train Acc: 49.07200038433075%
Test Loss: 1.4783043357849122 | Test Acc: 47.760000824928284%
Epoch: 78 | Epoch Time: 2m 17s
Train Loss: 1.4485023027038575 | Train Acc: 49.25599992275238%
Test Loss: 1.4763386001586913 | Test Acc: 47.87000119686127%
Epoch: 79 | Epoch Time: 2m 5s
Train Loss: 1.446712342529297 | Train Acc: 49.28399920463562%
Test Loss: 1.4759073738098145 | Test Acc: 47.81999886035919%
Epoch: 80 | Epoch Time: 1m 3s
Train Loss: 1.4454095666503906 | Train Acc: 49.215999245643616%
Test Loss: 1.47604429397583 | Test Acc: 47.769999504089355%
Epoch: 81 | Epoch Time: 0m 59s
Train Loss: 1.4437326260375976 | Train Acc: 49.206000566482544%
Test Loss: 1.4758728698730468 | Test Acc: 47.81999886035919%
Epoch: 82 | Epoch Time: 0m 56s
Train Loss: 1.4429031480407715 | Train Acc: 49.37199950218201%
Test Loss: 1.4762917366027832 | Test Acc: 47.88999855518341%
Epoch: 83 | Epoch Time: 0m 57s
Train Loss: 1.442135944519043 | Train Acc: 49.338001012802124%
Test Loss: 1.4771027503967284 | Test Acc: 47.780001163482666%
Epoch: 84 | Epoch Time: 0m 58s
Train Loss: 1.443218675994873 | Train Acc: 49.32999908924103%
Test Loss: 1.4796543395996093 | Test Acc: 47.74999916553497%
Epoch: 85 | Epoch Time: 0m 56s
Train Loss: 1.444157071533203 | Train Acc: 49.26599860191345%
Test Loss: 1.4820491249084473 | Test Acc: 47.69999980926514%
Epoch: 86 | Epoch Time: 0m 57s
Train Loss: 1.443958816986084 | Train Acc: 49.27999973297119%
Test Loss: 1.4835055534362793 | Test Acc: 47.760000824928284%
Epoch: 87 | Epoch Time: 0m 57s
Train Loss: 1.4437863401794433 | Train Acc: 49.268001317977905%
Test Loss: 1.485087889099121 | Test Acc: 47.54000008106232%
Epoch: 88 | Epoch Time: 0m 58s
Train Loss: 1.444389445953369 | Train Acc: 49.13400113582611%
Test Loss: 1.486792894744873 | Test Acc: 47.36999869346619%
Epoch: 89 | Epoch Time: 0m 57s
Train Loss: 1.4460854206848144 | Train Acc: 49.18000102043152%
Test Loss: 1.4900784774780274 | Test Acc: 47.35000133514404%
Epoch: 90 | Epoch Time: 0m 58s
Train Loss: 1.44781718170166 | Train Acc: 49.09000098705292%
Test Loss: 1.4935072036743164 | Test Acc: 47.31000065803528%
Epoch: 91 | Epoch Time: 1m 0s
Train Loss: 1.447457343902588 | Train Acc: 49.094000458717346%
Test Loss: 1.4948332138061524 | Test Acc: 47.17999994754791%
Epoch: 92 | Epoch Time: 0m 59s
Train Loss: 1.4494798065185548 | Train Acc: 49.070000648498535%
Test Loss: 1.4986330169677735 | Test Acc: 47.13999927043915%
Epoch: 93 | Epoch Time: 0m 57s
Train Loss: 1.4520702172851563 | Train Acc: 49.0200012922287%
Test Loss: 1.503181950378418 | Test Acc: 47.110000252723694%
Epoch: 94 | Epoch Time: 0m 58s
Train Loss: 1.4553704002380372 | Train Acc: 48.95800054073334%
Test Loss: 1.5081058891296386 | Test Acc: 46.93999886512756%
Epoch: 95 | Epoch Time: 0m 57s
Train Loss: 1.4581281578063965 | Train Acc: 48.90199899673462%
Test Loss: 1.5126930641174317 | Test Acc: 46.81000113487244%
Epoch: 96 | Epoch Time: 0m 57s
Train Loss: 1.4611458786010743 | Train Acc: 48.980000615119934%
Test Loss: 1.5177284744262696 | Test Acc: 46.84000015258789%
Epoch: 97 | Epoch Time: 0m 59s
Train Loss: 1.4635409568786621 | Train Acc: 48.95600080490112%
Test Loss: 1.5217292922973633 | Test Acc: 46.790000796318054%
Epoch: 98 | Epoch Time: 0m 59s
Train Loss: 1.4670281507873535 | Train Acc: 48.98599982261658%
Test Loss: 1.5272898986816406 | Test Acc: 46.779999136924744%
Epoch: 99 | Epoch Time: 1m 0s
Train Loss: 1.470653731689453 | Train Acc: 48.980000615119934%
Test Loss: 1.5325538665771485 | Test Acc: 46.74000144004822%
Epoch: 100 | Epoch Time: 0m 56s
Train Loss: 1.4757187426757812 | Train Acc: 48.886001110076904%
Test Loss: 1.5396543472290039 | Test Acc: 46.66000008583069%
