Namespace(action=3, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'lf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 6, 'attack_strength': 1.0, 'k': 1, 'test_frequency': 1}
======================Start Train Model [Sat May  4 13:59:33 2024]======================
Epoch: 1 | Epoch Time: 1m 37s
Train Loss: 2.2964002044677736 | Train Acc: 10.490000247955322%
Test Loss: 2.296309210205078 | Test Acc: 10.46999990940094%
Epoch: 2 | Epoch Time: 1m 43s
Train Loss: 2.2824514938354494 | Train Acc: 16.606000065803528%
Test Loss: 2.2822595993041994 | Test Acc: 16.930000483989716%
Epoch: 3 | Epoch Time: 1m 48s
Train Loss: 2.258612283325195 | Train Acc: 19.057999551296234%
Test Loss: 2.258246241760254 | Test Acc: 19.3900004029274%
Epoch: 4 | Epoch Time: 1m 44s
Train Loss: 2.226134468688965 | Train Acc: 23.999999463558197%
Test Loss: 2.225569319152832 | Test Acc: 24.369999766349792%
Epoch: 5 | Epoch Time: 1m 45s
Train Loss: 2.188327201843262 | Train Acc: 26.71000063419342%
Test Loss: 2.187520210266113 | Test Acc: 27.250000834465027%
Epoch: 6 | Epoch Time: 1m 47s
Train Loss: 2.1480553900146484 | Train Acc: 29.071998596191406%
Test Loss: 2.1469020584106446 | Test Acc: 29.559999704360962%
Epoch: 7 | Epoch Time: 1m 43s
Train Loss: 2.108408327026367 | Train Acc: 30.65600097179413%
Test Loss: 2.1067869064331055 | Test Acc: 30.779999494552612%
Epoch: 8 | Epoch Time: 1m 47s
Train Loss: 2.0660122109985353 | Train Acc: 32.12999999523163%
Test Loss: 2.0639905532836913 | Test Acc: 32.30000138282776%
Epoch: 9 | Epoch Time: 1m 44s
Train Loss: 2.025789878234863 | Train Acc: 33.18600058555603%
Test Loss: 2.023324072265625 | Test Acc: 33.70000123977661%
Epoch: 10 | Epoch Time: 1m 48s
