Namespace(action=10, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'bf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': -0.01, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Mon May  6 00:25:08 2024]======================
Epoch: 1 | Epoch Time: 0m 51s
Train Loss: 2.2986601248168945 | Train Acc: 10.001999884843826%
Test Loss: 2.298583934020996 | Test Acc: 10.000000149011612%
Epoch: 2 | Epoch Time: 0m 46s
Train Loss: 2.29214436126709 | Train Acc: 14.907999336719513%
Test Loss: 2.292009718322754 | Test Acc: 15.060000121593475%
Epoch: 3 | Epoch Time: 0m 46s
Train Loss: 2.2818400985717773 | Train Acc: 16.325999796390533%
Test Loss: 2.281623126220703 | Test Acc: 16.300000250339508%
Epoch: 4 | Epoch Time: 0m 47s
Train Loss: 2.267650013427734 | Train Acc: 19.85599994659424%
Test Loss: 2.2673237854003907 | Test Acc: 20.20000070333481%
Epoch: 5 | Epoch Time: 0m 48s
Train Loss: 2.2501089694213867 | Train Acc: 22.947999835014343%
Test Loss: 2.2496525787353514 | Test Acc: 23.37999939918518%
Epoch: 6 | Epoch Time: 0m 46s
Train Loss: 2.229389668273926 | Train Acc: 25.009998679161072%
Test Loss: 2.228794157409668 | Test Acc: 25.81000030040741%
Epoch: 7 | Epoch Time: 0m 46s
Train Loss: 2.2065241729736327 | Train Acc: 27.074000239372253%
Test Loss: 2.205736178588867 | Test Acc: 27.77000069618225%
Epoch: 8 | Epoch Time: 0m 47s
Train Loss: 2.1808729135131837 | Train Acc: 29.010000824928284%
Test Loss: 2.1798939376831057 | Test Acc: 29.53999936580658%
Epoch: 9 | Epoch Time: 0m 46s
Train Loss: 2.1534919732666014 | Train Acc: 30.461999773979187%
Test Loss: 2.152247651672363 | Test Acc: 30.61000108718872%
Epoch: 10 | Epoch Time: 0m 46s
