Namespace(action=10, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'bf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': -5.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Mon May  6 03:40:01 2024]======================
Epoch: 1 | Epoch Time: 0m 47s
Train Loss: 2.305299482727051 | Train Acc: 10.000000149011612%
Test Loss: 2.3053183029174806 | Test Acc: 10.000000149011612%
Epoch: 2 | Epoch Time: 0m 46s
Train Loss: 2.306726294555664 | Train Acc: 9.984000027179718%
Test Loss: 2.3067476943969725 | Test Acc: 9.98999997973442%
Epoch: 3 | Epoch Time: 0m 46s
Train Loss: 2.3084636920166015 | Train Acc: 9.325999766588211%
Test Loss: 2.308491505432129 | Test Acc: 9.449999779462814%
Epoch: 4 | Epoch Time: 0m 47s
Train Loss: 2.310731322631836 | Train Acc: 5.767999961972237%
Test Loss: 2.310764515686035 | Test Acc: 5.510000139474869%
Epoch: 5 | Epoch Time: 0m 47s
Train Loss: 2.3137753228759768 | Train Acc: 9.154000133275986%
Test Loss: 2.3138205917358396 | Test Acc: 9.130000323057175%
Epoch: 6 | Epoch Time: 0m 46s
Train Loss: 2.317883592529297 | Train Acc: 9.997999668121338%
Test Loss: 2.3179558502197266 | Test Acc: 10.000000149011612%
Epoch: 7 | Epoch Time: 0m 46s
Train Loss: 2.3236108480834963 | Train Acc: 10.000000149011612%
Test Loss: 2.323707621765137 | Test Acc: 10.000000149011612%
Epoch: 8 | Epoch Time: 0m 46s
Train Loss: 2.3316062564086915 | Train Acc: 10.000000149011612%
Test Loss: 2.331734732055664 | Test Acc: 10.000000149011612%
Epoch: 9 | Epoch Time: 0m 47s
Train Loss: 2.3429125369262693 | Train Acc: 10.000000149011612%
Test Loss: 2.343071099853516 | Test Acc: 10.000000149011612%
Epoch: 10 | Epoch Time: 0m 47s
Train Loss: 2.3593191616821287 | Train Acc: 10.000000149011612%
Test Loss: 2.3595349655151368 | Test Acc: 10.000000149011612%
Epoch: 11 | Epoch Time: 0m 46s
Train Loss: 2.382974614868164 | Train Acc: 10.000000149011612%
Test Loss: 2.3832023696899416 | Test Acc: 10.000000149011612%
Epoch: 12 | Epoch Time: 0m 46s
Train Loss: 2.4196292276000975 | Train Acc: 10.000000149011612%
Test Loss: 2.4199587509155274 | Test Acc: 10.000000149011612%
Epoch: 13 | Epoch Time: 0m 47s
Train Loss: 2.4789890014648437 | Train Acc: 10.000000149011612%
Test Loss: 2.479373435974121 | Test Acc: 10.000000149011612%
Epoch: 14 | Epoch Time: 0m 46s
Train Loss: 2.5791897180175782 | Train Acc: 10.000000149011612%
Test Loss: 2.5797201202392577 | Test Acc: 10.000000149011612%
Epoch: 15 | Epoch Time: 0m 46s
Train Loss: 2.761810917663574 | Train Acc: 10.000000149011612%
Test Loss: 2.7624980499267577 | Test Acc: 10.000000149011612%
Epoch: 16 | Epoch Time: 0m 46s
Train Loss: 3.1254788818359374 | Train Acc: 10.000000149011612%
Test Loss: 3.1268912048339845 | Test Acc: 10.000000149011612%
Epoch: 17 | Epoch Time: 0m 47s
Train Loss: 3.8580455541992187 | Train Acc: 10.000000149011612%
Test Loss: 3.860419482421875 | Test Acc: 10.000000149011612%
Epoch: 18 | Epoch Time: 0m 46s
Train Loss: 5.795158657836914 | Train Acc: 10.000000149011612%
Test Loss: 5.801436602783203 | Test Acc: 10.000000149011612%
Epoch: 19 | Epoch Time: 0m 46s
Train Loss: 11.325379970703125 | Train Acc: 10.000000149011612%
Test Loss: 11.335995135498047 | Test Acc: 10.000000149011612%
Epoch: 20 | Epoch Time: 0m 46s
Train Loss: 34.338086953125 | Train Acc: 10.000000149011612%
Test Loss: 34.35041889648438 | Test Acc: 10.000000149011612%
Epoch: 21 | Epoch Time: 0m 47s
Train Loss: 307.9868742578125 | Train Acc: 10.000000149011612%
Test Loss: 307.603226953125 | Test Acc: 10.000000149011612%
Epoch: 22 | Epoch Time: 0m 47s
Train Loss: 123076.76804 | Train Acc: 10.000000149011612%
Test Loss: 122588.8081 | Test Acc: 10.000000149011612%
Epoch: 23 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 24 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 25 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 26 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 27 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 28 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 29 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 30 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 31 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 32 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 33 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 34 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 35 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 36 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 37 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 38 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 39 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 40 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 41 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 42 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 43 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 44 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 45 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 46 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 47 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 48 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 49 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 50 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 51 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 52 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 53 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 54 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 55 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 56 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 57 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 58 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 59 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 60 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 61 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 62 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 63 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 64 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 65 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 66 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 67 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 68 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 69 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 70 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 71 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 72 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 73 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 74 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 75 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 76 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 77 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 78 | Epoch Time: 0m 47s
Train Loss: nan | Train Acc: 10.000000149011612%
Test Loss: nan | Test Acc: 10.000000149011612%
Epoch: 79 | Epoch Time: 0m 46s
Train Loss: nan | Train Acc: 10.000000149011612%
