acc,loss
0.10068,2.292472119140625
0.14414,2.2720039151000977
0.20016,2.2415870278930665
0.26876,2.2028834924316407
0.29736,2.157987194213867
0.31024,2.112678430175781
0.31768,2.065495330505371
0.32836,2.0138135174560547
0.33268,1.969038500366211
0.33884,1.933971339416504
0.34702,1.8942935455322265
0.35898,1.8558199005126954
0.3661,1.8221095010375976
0.37598,1.7920937649536133
0.38056,1.7705513403320312
0.39198,1.7332644918823241
0.39746,1.7070773098754883
0.4061,1.6781579702758789
0.4106,1.6614963943481444
0.41766,1.635940892944336
0.42466,1.6167328524780273
0.42676,1.6076597055053712
0.43104,1.5871056784057618
0.43626,1.574344906311035
0.44046,1.5621477145385743
0.44582,1.5468641848754883
0.45154,1.5277750012207032
0.45562,1.5204048837280273
0.4556,1.521057547302246
0.45908,1.5048712008666991
0.45896,1.5056463430786133
0.45896,1.5065995912170411
0.45914,1.5076974554443359
0.45942,1.509071423034668
0.45958,1.5103883088684082
0.45962,1.5120830935668945
0.45962,1.5138969937133788
0.4635,1.4979710287475585
0.46396,1.499769275970459
0.46402,1.5013689465332032
0.46418,1.5030269664001465
0.46414,1.5048461465454102
0.464,1.5070721893310546
0.46322,1.5094948278808593
0.4623,1.5123342468261718
0.46218,1.5145874768066405
0.46128,1.517512993774414
0.46162,1.5195313528442382
0.46134,1.5220870022583008
0.46076,1.5249390698242187
0.46064,1.527826056213379
0.4608,1.5306059622192383
0.4601,1.5335192739868164
0.45902,1.5367888439941406
0.458,1.5397607952880858
0.4543,1.5353524124145508
0.45308,1.5384575399780274
0.4528,1.5410610180664062
0.45224,1.5440059249877929
0.4509,1.5473933517456055
0.45046,1.5504950466918945
0.44996,1.5529609716796875
0.44892,1.5572922747802735
0.44806,1.5605001724243164
0.44696,1.5636037252807617
0.44586,1.56710626373291
0.44426,1.5705641943359374
0.4425,1.5740554208374022
0.44104,1.5773215270996093
0.43962,1.5807340756225585
0.43886,1.5837715957641603
0.43762,1.5879221786499023
0.43598,1.5918425091552735
0.43344,1.5958032028198241
0.43214,1.5997906692504882
0.43024,1.6039545904541015
0.4263,1.6091021981811524
0.4365,1.5802646383666992
0.43508,1.5838301342773438
0.43448,1.5868252374267577
0.43224,1.5914255410766602
0.42962,1.5953561282348634
0.42748,1.5996708990478516
0.4254,1.6040360968017577
0.4232,1.6084869668579103
0.42112,1.6132641458129884
0.4187,1.6177072824096679
0.41584,1.6221967160034179
0.41328,1.6266326666259765
0.41094,1.6305723275756836
0.40838,1.6351088052368163
0.40604,1.6394411157226563
0.40336,1.6438053341674805
0.40038,1.6485615979003907
0.39718,1.6529319528198243
0.39408,1.6581230990600586
0.39074,1.6627574169921875
0.38654,1.667906275024414
0.38274,1.672526974182129
0.37928,1.677141378479004
