Namespace(action=8, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'bf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 6, 'attack_strength': -1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 14:25:36 2024]======================
Epoch: 1 | Epoch Time: 0m 48s
Epoch: 34 | Epoch Time: 0m 47s
Train Loss: 1.801059489440918 | Train Acc: 38.273999094963074%
Test Loss: 1.7978123153686523 | Test Acc: 38.679999113082886%
Epoch: 35 | Epoch Time: 0m 47s
Train Loss: 1.7888300521850586 | Train Acc: 38.47000002861023%
Test Loss: 1.7856017974853515 | Test Acc: 38.87999951839447%
Epoch: 36 | Epoch Time: 0m 48s
Train Loss: 1.7743749307250976 | Train Acc: 38.745999336242676%
Test Loss: 1.771181884765625 | Test Acc: 39.160001277923584%
Epoch: 37 | Epoch Time: 0m 48s
Train Loss: 1.7606951312255859 | Train Acc: 39.12799954414368%
Test Loss: 1.757481475830078 | Test Acc: 39.37000036239624%
Epoch: 38 | Epoch Time: 0m 47s
Train Loss: 1.7512321859741211 | Train Acc: 39.35199975967407%
Test Loss: 1.7480863967895508 | Test Acc: 39.28000032901764%
Epoch: 39 | Epoch Time: 0m 45s
Train Loss: 1.739853609313965 | Train Acc: 39.65199887752533%
Test Loss: 1.7367525634765626 | Test Acc: 39.730000495910645%
Epoch: 40 | Epoch Time: 0m 48s
Train Loss: 1.730455295715332 | Train Acc: 39.90199863910675%
Test Loss: 1.727530712890625 | Test Acc: 39.86999988555908%
Epoch: 41 | Epoch Time: 0m 47s
Train Loss: 1.7183983850097657 | Train Acc: 40.18599987030029%
Test Loss: 1.7155065414428712 | Test Acc: 40.13000130653381%
Epoch: 42 | Epoch Time: 0m 48s
Train Loss: 1.7088716604614258 | Train Acc: 40.455999970436096%
Test Loss: 1.7060309509277343 | Test Acc: 40.40000140666962%
Epoch: 43 | Epoch Time: 0m 47s
Train Loss: 1.697951228942871 | Train Acc: 40.803998708724976%
Test Loss: 1.69526220703125 | Test Acc: 40.74999988079071%
Epoch: 44 | Epoch Time: 0m 48s
Train Loss: 1.6914952194213868 | Train Acc: 41.08000099658966%
Test Loss: 1.6887078964233397 | Test Acc: 40.97000062465668%
Epoch: 45 | Epoch Time: 0m 47s
Train Loss: 1.6838742864990235 | Train Acc: 41.124001145362854%
Test Loss: 1.6812565963745116 | Test Acc: 41.040000319480896%
Epoch: 46 | Epoch Time: 0m 48s
Train Loss: 1.677593397216797 | Train Acc: 41.26800000667572%
Test Loss: 1.6750420944213866 | Test Acc: 41.1300003528595%
Epoch: 47 | Epoch Time: 0m 47s
Train Loss: 1.6672294140625 | Train Acc: 41.495999693870544%
Test Loss: 1.664882814025879 | Test Acc: 41.31999909877777%
Epoch: 48 | Epoch Time: 0m 47s
Train Loss: 1.6583123028564453 | Train Acc: 41.760000586509705%
Test Loss: 1.656029554748535 | Test Acc: 41.679999232292175%
Epoch: 49 | Epoch Time: 0m 47s
Train Loss: 1.6477181622314454 | Train Acc: 42.02199876308441%
Test Loss: 1.6455965866088866 | Test Acc: 41.920000314712524%
Epoch: 50 | Epoch Time: 0m 48s
Train Loss: 1.639682995300293 | Train Acc: 42.24399924278259%
Test Loss: 1.6377607620239258 | Test Acc: 42.14999973773956%
Epoch: 51 | Epoch Time: 0m 47s
Train Loss: 1.6318574655151368 | Train Acc: 42.41600036621094%
Test Loss: 1.6300741073608398 | Test Acc: 42.28000044822693%
Epoch: 52 | Epoch Time: 0m 47s
Train Loss: 1.6216330981445313 | Train Acc: 42.76599884033203%
Test Loss: 1.6201122741699219 | Test Acc: 42.84999966621399%
Epoch: 53 | Epoch Time: 0m 47s
Train Loss: 1.612182495727539 | Train Acc: 43.05599927902222%
