Namespace(action=4, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'lf', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Mon May  6 17:23:18 2024]======================
Epoch: 1 | Epoch Time: 0m 53s
Epoch: 34 | Epoch Time: 0m 52s
Train Loss: 1.6800749822998047 | Train Acc: 43.483999371528625%
Test Loss: 1.6842161376953124 | Test Acc: 42.80000030994415%
Epoch: 35 | Epoch Time: 0m 52s
Train Loss: 1.6864068215942383 | Train Acc: 43.38200092315674%
Test Loss: 1.6917040939331054 | Test Acc: 42.500001192092896%
Epoch: 36 | Epoch Time: 0m 50s
Train Loss: 1.7132427502441405 | Train Acc: 43.615999817848206%
Test Loss: 1.7177956115722657 | Test Acc: 42.48000085353851%
Epoch: 37 | Epoch Time: 0m 47s
Train Loss: 1.7296037564086915 | Train Acc: 43.32999885082245%
Test Loss: 1.7332656951904297 | Test Acc: 42.37000048160553%
Epoch: 38 | Epoch Time: 0m 52s
Train Loss: 1.7627124298095702 | Train Acc: 43.58400106430054%
Test Loss: 1.7657911560058595 | Test Acc: 42.44999885559082%
Epoch: 39 | Epoch Time: 0m 52s
Train Loss: 1.810528684387207 | Train Acc: 43.99200081825256%
Test Loss: 1.8130702163696288 | Test Acc: 42.87000000476837%
Epoch: 40 | Epoch Time: 0m 51s
Train Loss: 1.8641650653076172 | Train Acc: 44.21800076961517%
Test Loss: 1.8662257720947266 | Test Acc: 43.459999561309814%
Epoch: 41 | Epoch Time: 0m 51s
Train Loss: 1.9199359436035157 | Train Acc: 44.321998953819275%
Test Loss: 1.9214518615722656 | Test Acc: 43.59999895095825%
Epoch: 42 | Epoch Time: 0m 53s
Train Loss: 1.984413683166504 | Train Acc: 44.345998764038086%
Test Loss: 1.9850583328247071 | Test Acc: 43.75%
Epoch: 43 | Epoch Time: 0m 52s
Train Loss: 2.0478839862060547 | Train Acc: 44.41600143909454%
Test Loss: 2.0480662689208984 | Test Acc: 43.700000643730164%
Epoch: 44 | Epoch Time: 0m 51s
Train Loss: 2.1130875354003904 | Train Acc: 44.59599852561951%
Test Loss: 2.112801983642578 | Test Acc: 43.90999972820282%
Epoch: 45 | Epoch Time: 0m 52s
Train Loss: 2.182927432861328 | Train Acc: 44.65999901294708%
Test Loss: 2.182965364074707 | Test Acc: 43.939998745918274%
Epoch: 46 | Epoch Time: 0m 53s
Train Loss: 2.194228902282715 | Train Acc: 44.005998969078064%
Test Loss: 2.200681840515137 | Test Acc: 43.50999891757965%
Epoch: 47 | Epoch Time: 0m 48s
Train Loss: 2.2571755166625977 | Train Acc: 44.08999979496002%
Test Loss: 2.2615915100097657 | Test Acc: 43.83000135421753%
Epoch: 48 | Epoch Time: 0m 49s
Train Loss: 2.3159572158813475 | Train Acc: 44.1540002822876%
Test Loss: 2.3189210952758788 | Test Acc: 43.83000135421753%
Epoch: 49 | Epoch Time: 0m 57s
Train Loss: 2.388370476989746 | Train Acc: 44.23399865627289%
Test Loss: 2.39113429107666 | Test Acc: 43.869999051094055%
Epoch: 50 | Epoch Time: 0m 56s
Train Loss: 2.4563316134643554 | Train Acc: 44.33000087738037%
Test Loss: 2.4591241897583007 | Test Acc: 44.040000438690186%
Epoch: 51 | Epoch Time: 0m 55s
Train Loss: 2.52283778137207 | Train Acc: 44.40000057220459%
Test Loss: 2.5254270156860352 | Test Acc: 44.190001487731934%
Epoch: 52 | Epoch Time: 0m 57s
Train Loss: 2.5879272888183595 | Train Acc: 44.37200129032135%
Test Loss: 2.5902547927856445 | Test Acc: 44.22000050544739%
Epoch: 53 | Epoch Time: 0m 56s
Train Loss: 2.6492314904785155 | Train Acc: 44.40999925136566%
Test Loss: 2.6516749435424805 | Test Acc: 44.119998812675476%
Epoch: 54 | Epoch Time: 0m 56s
Train Loss: 2.7087371243286134 | Train Acc: 44.402000308036804%
Test Loss: 2.711259794616699 | Test Acc: 44.20999884605408%
Epoch: 55 | Epoch Time: 0m 56s
Train Loss: 2.7631547555541993 | Train Acc: 44.41800117492676%
Test Loss: 2.7660239501953123 | Test Acc: 44.279998540878296%
Epoch: 56 | Epoch Time: 0m 58s
Train Loss: 2.814782952575684 | Train Acc: 44.477999210357666%
Test Loss: 2.8180302017211916 | Test Acc: 44.3699985742569%
Epoch: 57 | Epoch Time: 0m 47s
Train Loss: 2.8644550845336916 | Train Acc: 44.481998682022095%
Test Loss: 2.867894450378418 | Test Acc: 44.22000050544739%
Epoch: 58 | Epoch Time: 0m 52s
Train Loss: 2.91080784576416 | Train Acc: 44.48800086975098%
Test Loss: 2.9145799468994142 | Test Acc: 44.22999918460846%
Epoch: 59 | Epoch Time: 0m 51s
Train Loss: 2.9547125158691405 | Train Acc: 44.50199902057648%
Test Loss: 2.9587691177368165 | Test Acc: 44.22999918460846%
Epoch: 60 | Epoch Time: 0m 52s
Train Loss: 2.9971222003173827 | Train Acc: 44.51799988746643%
Test Loss: 3.001536885070801 | Test Acc: 44.17999982833862%
Epoch: 61 | Epoch Time: 0m 52s
Train Loss: 3.0367178381347655 | Train Acc: 44.51200067996979%
Test Loss: 3.0414766342163086 | Test Acc: 44.24000084400177%
Epoch: 62 | Epoch Time: 0m 51s
Train Loss: 3.074442344665527 | Train Acc: 44.449999928474426%
Test Loss: 3.0793401550292967 | Test Acc: 44.26000118255615%
Epoch: 63 | Epoch Time: 0m 52s
Train Loss: 3.11007477935791 | Train Acc: 44.44600045681%
Test Loss: 3.115332356262207 | Test Acc: 44.17999982833862%
Epoch: 64 | Epoch Time: 0m 52s
Train Loss: 3.1440265676879884 | Train Acc: 44.453999400138855%
Test Loss: 3.1494099060058596 | Test Acc: 44.22000050544739%
Epoch: 65 | Epoch Time: 0m 51s
Train Loss: 3.1762970486450195 | Train Acc: 44.43199932575226%
Test Loss: 3.1818767562866213 | Test Acc: 44.17000114917755%
Epoch: 66 | Epoch Time: 0m 51s
Train Loss: 3.206876594543457 | Train Acc: 44.43599879741669%
Test Loss: 3.212672592163086 | Test Acc: 44.200000166893005%
Epoch: 67 | Epoch Time: 0m 53s
Train Loss: 3.2354043698120116 | Train Acc: 44.440001249313354%
Test Loss: 3.2415041244506835 | Test Acc: 44.13999915122986%
Epoch: 68 | Epoch Time: 0m 47s
Train Loss: 3.2626391522216798 | Train Acc: 44.4379985332489%
Test Loss: 3.2690181716918945 | Test Acc: 44.119998812675476%
Epoch: 69 | Epoch Time: 0m 51s
Train Loss: 3.288743069152832 | Train Acc: 44.40799951553345%
Test Loss: 3.295346044921875 | Test Acc: 44.20999884605408%
Epoch: 70 | Epoch Time: 0m 56s
Train Loss: 3.3135500982666017 | Train Acc: 44.39400136470795%
Test Loss: 3.3205222030639647 | Test Acc: 44.24999952316284%
Epoch: 71 | Epoch Time: 0m 57s
Train Loss: 3.337247622375488 | Train Acc: 44.39400136470795%
Test Loss: 3.3446352310180663 | Test Acc: 44.22999918460846%
Epoch: 72 | Epoch Time: 0m 56s
Train Loss: 3.359736030883789 | Train Acc: 44.411998987197876%
Test Loss: 3.367476263427734 | Test Acc: 44.200000166893005%
Epoch: 73 | Epoch Time: 0m 55s
Train Loss: 3.381674907836914 | Train Acc: 44.42000091075897%
Test Loss: 3.389828746032715 | Test Acc: 44.17999982833862%
Epoch: 74 | Epoch Time: 0m 58s
Train Loss: 3.4031412344360352 | Train Acc: 44.4379985332489%
Test Loss: 3.4115107040405275 | Test Acc: 44.13999915122986%
Epoch: 75 | Epoch Time: 0m 57s
Train Loss: 3.4232483673095704 | Train Acc: 44.43399906158447%
Test Loss: 3.431843438720703 | Test Acc: 44.15000081062317%
Epoch: 76 | Epoch Time: 0m 55s
Train Loss: 3.442691499938965 | Train Acc: 44.42200064659119%
Test Loss: 3.4515101470947265 | Test Acc: 44.13999915122986%
Epoch: 77 | Epoch Time: 0m 58s
