Namespace(action=4, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'lf', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 10, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Tue May  7 06:56:44 2024]======================
Epoch: 1 | Epoch Time: 0m 38s
Epoch: 34 | Epoch Time: 0m 46s
Train Loss: 1.6272108142089843 | Train Acc: 43.285998702049255%
Test Loss: 1.6419688049316405 | Test Acc: 42.730000615119934%
Epoch: 35 | Epoch Time: 0m 47s
Train Loss: 1.6399483438110352 | Train Acc: 43.28199923038483%
Test Loss: 1.6559608673095703 | Test Acc: 42.71000027656555%
Epoch: 36 | Epoch Time: 0m 43s
Train Loss: 1.667720531616211 | Train Acc: 43.70200037956238%
Test Loss: 1.686259684753418 | Test Acc: 43.09999942779541%
Epoch: 37 | Epoch Time: 0m 45s
Train Loss: 1.6732561544799804 | Train Acc: 43.59599947929382%
Test Loss: 1.690038703918457 | Test Acc: 42.91999936103821%
Epoch: 38 | Epoch Time: 0m 45s
Train Loss: 1.6882454788208008 | Train Acc: 43.75999867916107%
Test Loss: 1.7072023696899414 | Test Acc: 43.16999912261963%
Epoch: 39 | Epoch Time: 0m 48s
Train Loss: 1.7148905722045897 | Train Acc: 44.08000111579895%
Test Loss: 1.7368834838867186 | Test Acc: 43.52000057697296%
Epoch: 40 | Epoch Time: 0m 44s
Train Loss: 1.7538942947387695 | Train Acc: 44.13000047206879%
Test Loss: 1.7785129333496095 | Test Acc: 43.68999898433685%
Epoch: 41 | Epoch Time: 0m 46s
Train Loss: 1.7854673092651367 | Train Acc: 44.12800073623657%
Test Loss: 1.812009996032715 | Test Acc: 43.57999861240387%
Epoch: 42 | Epoch Time: 0m 45s
Train Loss: 1.7927034631347656 | Train Acc: 43.483999371528625%
Test Loss: 1.8164347091674804 | Test Acc: 42.899999022483826%
Epoch: 43 | Epoch Time: 0m 47s
Train Loss: 1.8270211044311524 | Train Acc: 43.57399940490723%
Test Loss: 1.8520808197021483 | Test Acc: 42.809998989105225%
Epoch: 44 | Epoch Time: 0m 46s
Train Loss: 1.8264510308837891 | Train Acc: 43.43999922275543%
Test Loss: 1.8518624176025391 | Test Acc: 42.8600013256073%
Epoch: 45 | Epoch Time: 0m 45s
Train Loss: 1.879882359008789 | Train Acc: 43.50999891757965%
Test Loss: 1.906610202026367 | Test Acc: 42.71999895572662%
Epoch: 46 | Epoch Time: 0m 45s
Train Loss: 1.9220045809936523 | Train Acc: 42.96000003814697%
Test Loss: 1.9494143447875976 | Test Acc: 42.48000085353851%
Epoch: 47 | Epoch Time: 0m 46s
Train Loss: 1.9983700732421874 | Train Acc: 43.09200048446655%
Test Loss: 2.0282018646240236 | Test Acc: 42.500001192092896%
Epoch: 48 | Epoch Time: 0m 48s
Train Loss: 2.034636856689453 | Train Acc: 43.18999946117401%
Test Loss: 2.0659079818725585 | Test Acc: 42.44000017642975%
Epoch: 49 | Epoch Time: 0m 44s
Train Loss: 2.028921773376465 | Train Acc: 42.99199879169464%
Test Loss: 2.057337316894531 | Test Acc: 42.32000112533569%
Epoch: 50 | Epoch Time: 0m 45s
Train Loss: 2.0827553588867187 | Train Acc: 42.38399863243103%
Test Loss: 2.11170538482666 | Test Acc: 41.429999470710754%
Epoch: 51 | Epoch Time: 0m 45s
Train Loss: 2.1586023553466798 | Train Acc: 42.51199960708618%
Test Loss: 2.1900496994018557 | Test Acc: 41.74000024795532%
Epoch: 52 | Epoch Time: 0m 48s
Train Loss: 2.174687057800293 | Train Acc: 42.07800030708313%
Test Loss: 2.2093268325805666 | Test Acc: 41.17999970912933%
Epoch: 53 | Epoch Time: 0m 43s
Train Loss: 2.247694025878906 | Train Acc: 42.291998863220215%
Test Loss: 2.2850985946655276 | Test Acc: 41.47999882698059%
Epoch: 54 | Epoch Time: 0m 45s
Train Loss: 2.3193446307373047 | Train Acc: 42.46000051498413%
Test Loss: 2.3600464859008787 | Test Acc: 41.62999987602234%
Epoch: 55 | Epoch Time: 0m 45s
Train Loss: 2.3899680462646486 | Train Acc: 42.618000507354736%
Test Loss: 2.4334367614746095 | Test Acc: 41.87999963760376%
Epoch: 56 | Epoch Time: 0m 48s
Train Loss: 2.4581945401000977 | Train Acc: 42.757999897003174%
Test Loss: 2.5045199005126952 | Test Acc: 42.03999936580658%
Epoch: 57 | Epoch Time: 0m 45s
Train Loss: 2.524183849487305 | Train Acc: 42.8959995508194%
Test Loss: 2.5731929916381837 | Test Acc: 42.19000041484833%
Epoch: 58 | Epoch Time: 0m 45s
Train Loss: 2.5883221267700196 | Train Acc: 42.983999848365784%
Test Loss: 2.639930017089844 | Test Acc: 42.329999804496765%
Epoch: 59 | Epoch Time: 0m 45s
Train Loss: 2.650964462585449 | Train Acc: 43.02600026130676%
Test Loss: 2.704864791870117 | Test Acc: 42.239999771118164%
Epoch: 60 | Epoch Time: 0m 48s
Train Loss: 2.709972126159668 | Train Acc: 43.0620014667511%
Test Loss: 2.766148547363281 | Test Acc: 42.3799991607666%
Epoch: 61 | Epoch Time: 0m 48s
Train Loss: 2.765759969482422 | Train Acc: 43.11000108718872%
Test Loss: 2.823976724243164 | Test Acc: 42.399999499320984%
Epoch: 62 | Epoch Time: 0m 44s
Train Loss: 2.819932488708496 | Train Acc: 43.163999915122986%
Test Loss: 2.8804577545166015 | Test Acc: 42.4699991941452%
Epoch: 63 | Epoch Time: 0m 45s
Train Loss: 2.869493526916504 | Train Acc: 43.19399893283844%
Test Loss: 2.9319601974487304 | Test Acc: 42.39000082015991%
Epoch: 64 | Epoch Time: 0m 47s
Train Loss: 2.918105759887695 | Train Acc: 43.21399927139282%
Test Loss: 2.982410095214844 | Test Acc: 42.48000085353851%
Epoch: 65 | Epoch Time: 0m 49s
Train Loss: 2.9619877899169924 | Train Acc: 43.24199855327606%
Test Loss: 3.028184884643555 | Test Acc: 42.4699991941452%
Epoch: 66 | Epoch Time: 0m 43s
