acc,loss
0.15346,2.2989996295166018
0.17328,2.292304848022461
0.1946,2.2820067962646484
0.23678,2.267374058532715
0.26824,2.2494757397460936
0.28706,2.2270843045043947
0.29704,2.2021840338134764
0.30528,2.1765924264526366
0.31386,2.148568186035156
0.32066,2.1212585580444334
0.32616,2.092490751953125
0.33354,2.060835706481934
0.34086,2.0324529638671875
0.34598,2.0048387365722657
0.35152,1.977254703979492
0.35596,1.950987351989746
0.36064,1.9220706143188477
0.36514,1.8984643334960938
0.37094,1.8717280871582032
0.37646,1.8469987866210937
0.38034,1.824921151123047
0.38338,1.8008822134399414
0.38722,1.7794233071899415
0.39288,1.760894457397461
0.39616,1.744458994140625
0.40042,1.7246679525756836
0.40354,1.7094162814331055
0.40892,1.6915251187133789
0.41186,1.6775112188720702
0.41562,1.6629323178100586
0.41966,1.6480608578491212
0.42222,1.6336312490844727
0.42524,1.621768772277832
0.42732,1.609485755004883
0.43092,1.596997290649414
0.43346,1.5868836737060548
0.43662,1.5767314706420898
0.44026,1.5646438363647461
0.4439,1.5545504861450195
0.44634,1.5445700094604493
0.44818,1.5339720251464843
0.4511,1.524568244934082
0.45406,1.5146387875366212
0.45694,1.5054483297729493
0.45888,1.4987168975830079
0.46082,1.4914566662597657
0.46378,1.4840033056640625
0.46644,1.4750751756286622
0.4687,1.4685888078308105
0.4715,1.4608861137390137
0.47524,1.453049153137207
0.4768,1.4465352925109862
0.47874,1.4403559391784668
0.48068,1.4353639305114747
0.48318,1.4289130778503418
0.48432,1.4237010342407226
0.48594,1.4190273443603516
0.48856,1.4133438552856445
0.49144,1.407987381591797
0.49304,1.4037336195373535
0.49486,1.3988483612060547
0.49628,1.3952392692565918
0.4972,1.3926752633666992
0.49956,1.3880222187805176
0.50108,1.3838877252197266
0.50274,1.3816009498596191
0.50434,1.3781800701904297
0.50514,1.3743371711730956
0.5067,1.3710726876831054
0.508,1.3667270529174804
0.5101,1.36200322265625
0.5122,1.358202382965088
0.51308,1.3551691096496583
0.51434,1.3525908314514161
0.51566,1.3495349230957032
0.51696,1.3470390795898437
0.51864,1.3440736190795899
0.52034,1.3405419781494141
0.52132,1.3373726388549805
0.52294,1.3351064701843263
0.52464,1.3322595544433593
0.5257,1.3303028059387207
0.52638,1.3280895628356935
0.52712,1.3267504234313965
0.52754,1.3261045111083984
0.52942,1.3237293351745605
0.53024,1.322725099029541
0.5304,1.321869763946533
0.5311,1.320635311126709
0.53202,1.3194810162353516
0.53274,1.3183971379089356
0.53396,1.317837236175537
0.53492,1.3168424392700195
0.53616,1.315864246673584
0.53674,1.3148131393432618
0.53722,1.3138511628723144
0.53828,1.3130630012512208
0.53926,1.3128928552246093
0.54002,1.312141021270752
0.54126,1.3119441409301758
