Namespace(action=12, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'lf', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 20, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Wed May  8 16:58:50 2024]======================
Epoch: 1 | Epoch Time: 0m 49s
Train Loss: 2.3006818927001955 | Train Acc: 10.04600003361702%
Test Loss: 2.3005702117919924 | Test Acc: 10.050000250339508%
Epoch: 2 | Epoch Time: 0m 37s
Train Loss: 2.291910916442871 | Train Acc: 12.588000297546387%
Test Loss: 2.2917562118530275 | Test Acc: 12.600000202655792%
Epoch: 3 | Epoch Time: 0m 37s
Train Loss: 2.2752323196411135 | Train Acc: 18.817999958992004%
Test Loss: 2.274957405090332 | Test Acc: 19.020000100135803%
Epoch: 4 | Epoch Time: 0m 36s
Train Loss: 2.249791348876953 | Train Acc: 21.44400030374527%
Test Loss: 2.2493077896118163 | Test Acc: 21.449999511241913%
Epoch: 5 | Epoch Time: 0m 36s
Train Loss: 2.217480873413086 | Train Acc: 23.921999335289%
Test Loss: 2.2167182327270507 | Test Acc: 23.999999463558197%
Epoch: 6 | Epoch Time: 0m 37s
Train Loss: 2.1809566021728517 | Train Acc: 26.458001136779785%
Test Loss: 2.179847006225586 | Test Acc: 26.890000700950623%
Epoch: 7 | Epoch Time: 0m 37s
Train Loss: 2.1419145989990236 | Train Acc: 28.29200029373169%
Test Loss: 2.1403959686279297 | Test Acc: 28.690001368522644%
Epoch: 8 | Epoch Time: 0m 36s
Train Loss: 2.1025870538330076 | Train Acc: 29.782000184059143%
Test Loss: 2.100646243286133 | Test Acc: 30.579999089241028%
Epoch: 9 | Epoch Time: 0m 37s
