Namespace(action=8, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'bf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 14, 'attack_strength': -1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 22:34:27 2024]======================
Epoch: 1 | Epoch Time: 0m 58s
Train Loss: 2.304608276062012 | Train Acc: 8.888000249862671%
Test Loss: 2.304667315673828 | Test Acc: 8.959999680519104%
Epoch: 2 | Epoch Time: 0m 58s
Train Loss: 2.30550685546875 | Train Acc: 7.981999963521957%
Test Loss: 2.3055690231323243 | Test Acc: 8.03999975323677%
Epoch: 3 | Epoch Time: 0m 57s
Train Loss: 2.3062794979858396 | Train Acc: 7.4539996683597565%
Test Loss: 2.306342498779297 | Test Acc: 7.329999655485153%
Epoch: 4 | Epoch Time: 1m 0s
Train Loss: 2.3070247268676756 | Train Acc: 7.57799968123436%
Test Loss: 2.3070887481689453 | Test Acc: 7.670000195503235%
Epoch: 5 | Epoch Time: 1m 2s
Train Loss: 2.307766294555664 | Train Acc: 8.173999935388565%
Test Loss: 2.3078315307617188 | Test Acc: 8.370000123977661%
Epoch: 6 | Epoch Time: 1m 3s
Train Loss: 2.308522755432129 | Train Acc: 8.563999831676483%
Test Loss: 2.308589028930664 | Test Acc: 8.619999885559082%
Epoch: 7 | Epoch Time: 1m 0s
Train Loss: 2.30931947265625 | Train Acc: 8.845999836921692%
Test Loss: 2.3093851638793947 | Test Acc: 8.910000324249268%
Epoch: 8 | Epoch Time: 1m 2s
Train Loss: 2.310161279296875 | Train Acc: 9.030000120401382%
Test Loss: 2.3102279983520506 | Test Acc: 9.019999951124191%
Epoch: 9 | Epoch Time: 1m 1s
Train Loss: 2.311068974609375 | Train Acc: 9.22200009226799%
Test Loss: 2.311138398742676 | Test Acc: 9.229999780654907%
Epoch: 10 | Epoch Time: 0m 58s
Train Loss: 2.3120462591552733 | Train Acc: 9.449999779462814%
Test Loss: 2.3121185729980467 | Test Acc: 9.430000185966492%
Epoch: 11 | Epoch Time: 0m 55s
Train Loss: 2.31312983795166 | Train Acc: 9.650000184774399%
Test Loss: 2.3132041961669922 | Test Acc: 9.600000083446503%
Epoch: 12 | Epoch Time: 0m 56s
Train Loss: 2.314301082458496 | Train Acc: 9.743999689817429%
Test Loss: 2.3143799713134765 | Test Acc: 9.780000150203705%
Epoch: 13 | Epoch Time: 0m 54s
Train Loss: 2.3156133303833006 | Train Acc: 9.8580002784729%
Test Loss: 2.3156944213867185 | Test Acc: 9.880000352859497%
Epoch: 14 | Epoch Time: 0m 56s
Train Loss: 2.3170459442138673 | Train Acc: 9.920000284910202%
Test Loss: 2.317132502746582 | Test Acc: 9.929999709129333%
Epoch: 15 | Epoch Time: 0m 55s
Train Loss: 2.3186443740844727 | Train Acc: 9.957999736070633%
Test Loss: 2.318734196472168 | Test Acc: 9.950000047683716%
Epoch: 16 | Epoch Time: 0m 55s
Train Loss: 2.320426180725098 | Train Acc: 9.973999857902527%
Test Loss: 2.3205186614990234 | Test Acc: 9.969999641180038%
Epoch: 17 | Epoch Time: 0m 55s
Train Loss: 2.3224200048828125 | Train Acc: 9.991999715566635%
Test Loss: 2.322513525390625 | Test Acc: 9.97999981045723%
Epoch: 18 | Epoch Time: 0m 57s
Train Loss: 2.3246268692016603 | Train Acc: 9.99400019645691%
Test Loss: 2.3247249435424804 | Test Acc: 10.000000149011612%
Epoch: 19 | Epoch Time: 0m 57s
Train Loss: 2.3271178817749023 | Train Acc: 9.997999668121338%
Test Loss: 2.3272200759887696 | Test Acc: 10.000000149011612%
Epoch: 20 | Epoch Time: 0m 56s
Train Loss: 2.3299101489257814 | Train Acc: 9.997999668121338%
Test Loss: 2.3300157318115233 | Test Acc: 10.000000149011612%
Epoch: 21 | Epoch Time: 0m 56s
Train Loss: 2.3330569091796876 | Train Acc: 10.000000149011612%
Test Loss: 2.3331631286621093 | Test Acc: 10.000000149011612%
Epoch: 22 | Epoch Time: 0m 56s
Train Loss: 2.33662205078125 | Train Acc: 10.000000149011612%
Test Loss: 2.3367287994384767 | Test Acc: 10.000000149011612%
Epoch: 23 | Epoch Time: 0m 56s
Train Loss: 2.340641891479492 | Train Acc: 10.000000149011612%
Test Loss: 2.340748425292969 | Test Acc: 10.000000149011612%
Epoch: 24 | Epoch Time: 0m 56s
Train Loss: 2.345219409484863 | Train Acc: 10.000000149011612%
Test Loss: 2.3453235656738283 | Test Acc: 10.000000149011612%
Epoch: 25 | Epoch Time: 0m 58s
Train Loss: 2.3504214569091797 | Train Acc: 10.000000149011612%
