acc,loss
0.08464,2.2869941952514647
0.10192,2.1989666806030272
0.10304,2.2049440396118163
0.10046,2.258557300415039
0.09596,2.329510108947754
0.09122,2.4009591326904296
0.08654,2.5008309259033203
0.08594,2.573637926635742
0.07792,2.6390967181396485
0.07566,2.770305764770508
0.07474,2.8463545700073243
0.07286,3.0236106884765626
0.0707,3.068017575073242
0.07044,3.3016440313720703
0.06932,3.5708338580322265
0.06942,3.7038706115722655
0.06968,4.052221304321289
0.06922,4.356643715820312
0.0693,4.6205636163330075
0.06932,4.919433222045899
0.06942,5.06522980102539
0.06934,5.274866414794922
0.0703,5.26580142578125
0.07234,5.344419094238281
0.07068,5.322228132324219
0.07128,5.361067294921875
0.07156,5.4553279516601565
0.07518,5.381340083618164
0.0729,5.5476827325439455
0.07212,5.523057283935547
0.0731,5.633629766845703
0.07304,5.6799358581542965
0.07684,5.324642984008789
0.07296,5.6004559643554686
0.07274,5.76538671081543
0.07306,5.723475253295899
0.07412,5.764643182983399
0.074,5.7631991265869145
0.07614,5.718768904418945
0.07434,5.815312122802735
0.0748,5.80664576171875
0.07494,5.813170943603516
0.07564,5.852892455444336
0.07648,5.813781726074219
0.07568,5.893761259155274
0.07604,5.904503425903321
0.07718,5.8865781048583985
0.07736,5.872031446533203
0.07766,5.919074274902344
0.0782,5.96580181640625
0.07778,5.898671521606445
0.07776,6.000304183349609
0.07802,5.975427761230469
0.07874,6.096853923339844
0.08106,5.883557623901368
0.08024,5.9391792132568355
0.08,5.965125774536133
0.08158,6.077777897338867
0.08088,6.026128305664063
0.08236,6.095449213867187
0.08364,6.050591443481445
0.08464,6.112243569335938
0.08588,5.91797239074707
0.0845,6.017171891479492
0.08752,6.095763435058593
0.08782,6.051697471313476
0.08796,6.016185840454102
0.09076,6.060440455932617
0.08898,5.955830477905273
0.0925,5.972986242675781
0.09384,5.862085735473633
0.09502,5.909812676391602
0.09506,5.921197294311524
0.09656,5.933794814453125
0.09746,5.897444016723632
0.09692,5.8880819873046875
0.09746,5.830432753295899
0.0988,5.841042388305664
0.10084,5.870299174804687
0.09922,5.840008153076172
0.10306,5.823530142822266
0.10364,5.776997059936523
0.10096,5.7401796307373045
0.10246,5.720623118286133
0.10274,5.679638811645508
0.1061,5.693003157348633
0.1062,5.722371665039063
0.10788,5.726728272094727
0.10806,5.6771353076171875
0.10732,5.665351389160156
0.1098,5.673008568115234
0.11124,5.682012139282227
0.11236,5.587090974121094
0.11226,5.631019822998047
0.11054,5.701746433715821
0.11516,5.618773770141601
0.1165,5.324379231567383
0.11014,5.397528199462891
0.11036,5.483598399658203
0.11176,5.5464160046386715
