Namespace(action=12, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'raw', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 15, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Mon May  6 02:55:00 2024]======================
Epoch: 1 | Epoch Time: 0m 47s
Train Loss: 2.295947681274414 | Train Acc: 16.609999537467957%
Test Loss: 2.2959983673095703 | Test Acc: 16.78999960422516%
Epoch: 2 | Epoch Time: 0m 47s
Train Loss: 2.2800361978149413 | Train Acc: 19.485999643802643%
Test Loss: 2.279993135070801 | Test Acc: 19.82000023126602%
Epoch: 3 | Epoch Time: 0m 46s
Train Loss: 2.2528198468017577 | Train Acc: 25.022000074386597%
Test Loss: 2.2525746643066404 | Test Acc: 25.38999915122986%
Epoch: 4 | Epoch Time: 0m 46s
Train Loss: 2.2159437121582033 | Train Acc: 28.284001350402832%
Test Loss: 2.215381121826172 | Test Acc: 28.65000069141388%
Epoch: 5 | Epoch Time: 0m 46s
Train Loss: 2.1726178759765626 | Train Acc: 30.103999376296997%
Test Loss: 2.171670654296875 | Test Acc: 30.250000953674316%
Epoch: 6 | Epoch Time: 0m 47s
Train Loss: 2.124592526245117 | Train Acc: 31.521999835968018%
Test Loss: 2.1232530654907227 | Test Acc: 31.709998846054077%
Epoch: 7 | Epoch Time: 0m 46s
Train Loss: 2.0734330816650393 | Train Acc: 32.56799876689911%
Test Loss: 2.0716190689086913 | Test Acc: 33.37000012397766%
Epoch: 8 | Epoch Time: 0m 46s
Train Loss: 2.025468815612793 | Train Acc: 33.46799910068512%
Test Loss: 2.0231776123046874 | Test Acc: 34.16999876499176%
Epoch: 9 | Epoch Time: 0m 46s
Train Loss: 1.9800701776123046 | Train Acc: 34.52199995517731%
Test Loss: 1.9775123931884766 | Test Acc: 35.22999882698059%
Epoch: 10 | Epoch Time: 0m 47s
Train Loss: 1.9347063668823241 | Train Acc: 35.23800075054169%
Test Loss: 1.931944758605957 | Test Acc: 35.9499990940094%
Epoch: 11 | Epoch Time: 0m 46s
Train Loss: 1.8912208416748046 | Train Acc: 36.173999309539795%
Test Loss: 1.8882908935546876 | Test Acc: 36.66999936103821%
Epoch: 12 | Epoch Time: 0m 46s
Train Loss: 1.849325159301758 | Train Acc: 37.14999854564667%
Test Loss: 1.8465282424926759 | Test Acc: 37.4099999666214%
Epoch: 13 | Epoch Time: 0m 46s
Train Loss: 1.8128363330078126 | Train Acc: 37.98600137233734%
Test Loss: 1.8099128967285156 | Test Acc: 38.22999894618988%
Epoch: 14 | Epoch Time: 0m 46s
Train Loss: 1.7785750469970703 | Train Acc: 38.74000012874603%
Test Loss: 1.7759124603271483 | Test Acc: 39.19000029563904%
Epoch: 15 | Epoch Time: 0m 46s
Train Loss: 1.7452001901245118 | Train Acc: 39.49599862098694%
Test Loss: 1.7428421936035157 | Test Acc: 39.899998903274536%
Epoch: 16 | Epoch Time: 0m 46s
Train Loss: 1.7160188879394531 | Train Acc: 40.1199996471405%
Test Loss: 1.7138784896850585 | Test Acc: 40.540000796318054%
Epoch: 17 | Epoch Time: 0m 47s
Train Loss: 1.68507369140625 | Train Acc: 40.82599878311157%
Test Loss: 1.683108103942871 | Test Acc: 41.13999903202057%
Epoch: 18 | Epoch Time: 0m 46s
Train Loss: 1.6595587173461914 | Train Acc: 41.47799909114838%
Test Loss: 1.6577399658203125 | Test Acc: 41.589999198913574%
Epoch: 19 | Epoch Time: 0m 46s
Train Loss: 1.6353712051391602 | Train Acc: 42.052000761032104%
Test Loss: 1.633759959411621 | Test Acc: 42.17999875545502%
Epoch: 20 | Epoch Time: 0m 45s
Train Loss: 1.6134143740844726 | Train Acc: 42.570000886917114%
Test Loss: 1.6123059265136719 | Test Acc: 42.71999895572662%
Epoch: 21 | Epoch Time: 0m 46s
Train Loss: 1.5935966146850586 | Train Acc: 43.0759996175766%
Test Loss: 1.59279044342041 | Test Acc: 43.25999915599823%
Epoch: 22 | Epoch Time: 0m 47s
Train Loss: 1.57299552734375 | Train Acc: 43.601998686790466%
Test Loss: 1.5728791900634767 | Test Acc: 43.81000101566315%
Epoch: 23 | Epoch Time: 0m 46s
Train Loss: 1.5548864810180665 | Train Acc: 44.07599866390228%
Test Loss: 1.555165266418457 | Test Acc: 44.15999948978424%
Epoch: 24 | Epoch Time: 0m 46s
Train Loss: 1.538619888305664 | Train Acc: 44.65799927711487%
Test Loss: 1.5394539413452148 | Test Acc: 44.679999351501465%
Epoch: 25 | Epoch Time: 0m 46s
Train Loss: 1.5214425540161134 | Train Acc: 45.3000009059906%
Test Loss: 1.5226230377197265 | Test Acc: 45.42999863624573%
Epoch: 26 | Epoch Time: 0m 46s
Train Loss: 1.5047506546020508 | Train Acc: 45.81800103187561%
Test Loss: 1.50633653717041 | Test Acc: 45.980000495910645%
Epoch: 27 | Epoch Time: 0m 46s
Train Loss: 1.4904890444946288 | Train Acc: 46.215999126434326%
Test Loss: 1.492439389038086 | Test Acc: 46.43000066280365%
Epoch: 28 | Epoch Time: 0m 46s
Train Loss: 1.475195338897705 | Train Acc: 46.76400125026703%
Test Loss: 1.4775164833068848 | Test Acc: 46.75999879837036%
Epoch: 29 | Epoch Time: 0m 46s
Train Loss: 1.4643451383972168 | Train Acc: 47.15200066566467%
Test Loss: 1.4671532020568847 | Test Acc: 47.33999967575073%
Epoch: 30 | Epoch Time: 0m 46s
Train Loss: 1.452631226348877 | Train Acc: 47.55600094795227%
Test Loss: 1.4558470245361328 | Test Acc: 47.7400004863739%
Epoch: 31 | Epoch Time: 0m 46s
Train Loss: 1.4387747122192382 | Train Acc: 48.08000028133392%
Test Loss: 1.4427424507141113 | Test Acc: 48.41000139713287%
Epoch: 32 | Epoch Time: 0m 46s
Train Loss: 1.4257812811279298 | Train Acc: 48.45399856567383%
Test Loss: 1.4302956130981446 | Test Acc: 48.829999566078186%
Epoch: 33 | Epoch Time: 0m 46s
Train Loss: 1.415305523223877 | Train Acc: 48.833999037742615%
Test Loss: 1.420212338256836 | Test Acc: 48.980000615119934%
Epoch: 34 | Epoch Time: 0m 46s
Train Loss: 1.4038075244140624 | Train Acc: 49.27600026130676%
Test Loss: 1.4093948951721191 | Test Acc: 49.470001459121704%
Epoch: 35 | Epoch Time: 0m 46s
Train Loss: 1.3927041418457031 | Train Acc: 49.616000056266785%
Test Loss: 1.3992449668884277 | Test Acc: 49.86000061035156%
Epoch: 36 | Epoch Time: 0m 46s
Train Loss: 1.383249345550537 | Train Acc: 49.97200071811676%
Test Loss: 1.3903477394104005 | Test Acc: 50.12999773025513%
Epoch: 37 | Epoch Time: 0m 46s
Train Loss: 1.3747608874511719 | Train Acc: 50.23199915885925%
Test Loss: 1.3823441749572754 | Test Acc: 50.349998474121094%
Epoch: 38 | Epoch Time: 0m 47s
Train Loss: 1.3660853901672363 | Train Acc: 50.52800178527832%
Test Loss: 1.3744195426940917 | Test Acc: 50.679999589920044%
Epoch: 39 | Epoch Time: 0m 46s
Train Loss: 1.3562141514587402 | Train Acc: 50.874000787734985%
Test Loss: 1.365365451812744 | Test Acc: 51.010000705718994%
Epoch: 40 | Epoch Time: 0m 46s
Train Loss: 1.3478009779357911 | Train Acc: 51.20999813079834%
Test Loss: 1.358078165435791 | Test Acc: 51.190000772476196%
Epoch: 41 | Epoch Time: 0m 46s
Train Loss: 1.3386230335998535 | Train Acc: 51.5720009803772%
Test Loss: 1.3498440948486328 | Test Acc: 51.52000188827515%
Epoch: 42 | Epoch Time: 0m 47s
Train Loss: 1.329581517791748 | Train Acc: 51.94399952888489%
Test Loss: 1.3419391563415528 | Test Acc: 51.87000036239624%
Epoch: 43 | Epoch Time: 0m 46s
Train Loss: 1.3206242916870117 | Train Acc: 52.219998836517334%
Test Loss: 1.3339868019104004 | Test Acc: 52.170002460479736%
Epoch: 44 | Epoch Time: 0m 47s
Train Loss: 1.3124069891357422 | Train Acc: 52.58200168609619%
Test Loss: 1.326394036102295 | Test Acc: 52.42999792098999%
Epoch: 45 | Epoch Time: 0m 45s
Train Loss: 1.3056184523010255 | Train Acc: 52.82599925994873%
Test Loss: 1.3206769798278808 | Test Acc: 52.52000093460083%
Epoch: 46 | Epoch Time: 0m 46s
Train Loss: 1.2970328465270997 | Train Acc: 53.2260000705719%
Test Loss: 1.3131547065734863 | Test Acc: 52.70000100135803%
Epoch: 47 | Epoch Time: 0m 47s
Train Loss: 1.290768279876709 | Train Acc: 53.39199900627136%
Test Loss: 1.3078069427490235 | Test Acc: 52.719998359680176%
Epoch: 48 | Epoch Time: 0m 46s
Train Loss: 1.2832641343688964 | Train Acc: 53.65999937057495%
Test Loss: 1.301180990600586 | Test Acc: 53.2800018787384%
Epoch: 49 | Epoch Time: 0m 46s
Train Loss: 1.2772077667236328 | Train Acc: 53.90599966049194%
Test Loss: 1.29619600982666 | Test Acc: 53.460001945495605%
Epoch: 50 | Epoch Time: 0m 47s
Train Loss: 1.27123755859375 | Train Acc: 54.2140007019043%
Test Loss: 1.2913580795288087 | Test Acc: 53.860002756118774%
Epoch: 51 | Epoch Time: 0m 47s
Train Loss: 1.2652632124328613 | Train Acc: 54.475998878479004%
Test Loss: 1.2867714904785157 | Test Acc: 53.96000146865845%
Epoch: 52 | Epoch Time: 0m 46s
Train Loss: 1.2590824609375 | Train Acc: 54.787999391555786%
Test Loss: 1.2819974395751954 | Test Acc: 54.1700005531311%
Epoch: 53 | Epoch Time: 0m 46s
Train Loss: 1.2536652926635743 | Train Acc: 55.055999755859375%
Test Loss: 1.2775503509521484 | Test Acc: 54.32000160217285%
Epoch: 54 | Epoch Time: 0m 46s
Train Loss: 1.2491515129089354 | Train Acc: 55.20600080490112%
Test Loss: 1.2739824409484863 | Test Acc: 54.339998960494995%
Epoch: 55 | Epoch Time: 0m 47s
Train Loss: 1.2435177101135253 | Train Acc: 55.51999807357788%
Test Loss: 1.2696394737243653 | Test Acc: 54.49000000953674%
Epoch: 56 | Epoch Time: 0m 47s
Train Loss: 1.2382428964233398 | Train Acc: 55.78799843788147%
Test Loss: 1.2658166862487792 | Test Acc: 54.6500027179718%
Epoch: 57 | Epoch Time: 0m 46s
Train Loss: 1.2344610891723633 | Train Acc: 55.9440016746521%
Test Loss: 1.2633169815063476 | Test Acc: 54.72000241279602%
Epoch: 58 | Epoch Time: 0m 46s
Train Loss: 1.2293539077758788 | Train Acc: 56.18399977684021%
Test Loss: 1.2596554054260254 | Test Acc: 55.08999824523926%
Epoch: 59 | Epoch Time: 0m 46s
Train Loss: 1.2255691654968262 | Train Acc: 56.411999464035034%
Test Loss: 1.2578024543762207 | Test Acc: 55.22000193595886%
Epoch: 60 | Epoch Time: 0m 46s
Train Loss: 1.2216761233520508 | Train Acc: 56.61799907684326%
Test Loss: 1.2550200424194335 | Test Acc: 55.36999702453613%
Epoch: 61 | Epoch Time: 0m 46s
Train Loss: 1.218288197479248 | Train Acc: 56.779998540878296%
Test Loss: 1.253413427734375 | Test Acc: 55.400002002716064%
Epoch: 62 | Epoch Time: 0m 45s
Train Loss: 1.2146378005981446 | Train Acc: 56.95199966430664%
Test Loss: 1.2517419052124024 | Test Acc: 55.5899977684021%
Epoch: 63 | Epoch Time: 0m 47s
Train Loss: 1.2104721365356446 | Train Acc: 57.14200139045715%
Test Loss: 1.249352219390869 | Test Acc: 55.72999715805054%
Epoch: 64 | Epoch Time: 0m 46s
Train Loss: 1.2063456076049806 | Train Acc: 57.44600296020508%
Test Loss: 1.247405389404297 | Test Acc: 55.980002880096436%
Epoch: 65 | Epoch Time: 0m 46s
Train Loss: 1.202835378112793 | Train Acc: 57.590001821517944%
Test Loss: 1.2460078948974609 | Test Acc: 55.980002880096436%
Epoch: 66 | Epoch Time: 0m 46s
Train Loss: 1.2001652178955078 | Train Acc: 57.708001136779785%
Test Loss: 1.2448837448120118 | Test Acc: 56.11000061035156%
Epoch: 67 | Epoch Time: 0m 46s
Train Loss: 1.1982438739013672 | Train Acc: 57.85999894142151%
Test Loss: 1.2447831474304198 | Test Acc: 56.19000196456909%
Epoch: 68 | Epoch Time: 0m 47s
Train Loss: 1.1971918728637696 | Train Acc: 58.0020010471344%
Test Loss: 1.2458793891906739 | Test Acc: 56.34999871253967%
Epoch: 69 | Epoch Time: 0m 46s
Train Loss: 1.196192522125244 | Train Acc: 58.16799998283386%
Test Loss: 1.2473078804016113 | Test Acc: 56.540000438690186%
Epoch: 70 | Epoch Time: 0m 46s
Train Loss: 1.1952956666564942 | Train Acc: 58.31599831581116%
Test Loss: 1.2489645904541016 | Test Acc: 56.67999982833862%
Epoch: 71 | Epoch Time: 0m 47s
Train Loss: 1.1935111846923827 | Train Acc: 58.4879994392395%
Test Loss: 1.2496898979187012 | Test Acc: 56.790000200271606%
Epoch: 72 | Epoch Time: 0m 46s
Train Loss: 1.1930530502319336 | Train Acc: 58.664000034332275%
Test Loss: 1.2518556571960449 | Test Acc: 56.9100022315979%
Epoch: 73 | Epoch Time: 0m 46s
Train Loss: 1.1916427735900879 | Train Acc: 58.841997385025024%
Test Loss: 1.2532854370117188 | Test Acc: 56.98999762535095%
Epoch: 74 | Epoch Time: 0m 46s
Train Loss: 1.190762741394043 | Train Acc: 58.96199941635132%
Test Loss: 1.2547858085632324 | Test Acc: 57.05999732017517%
Epoch: 75 | Epoch Time: 0m 47s
Train Loss: 1.189255144958496 | Train Acc: 59.09799933433533%
Test Loss: 1.2552936950683593 | Test Acc: 57.260000705718994%
Epoch: 76 | Epoch Time: 0m 46s
Train Loss: 1.1895748196411133 | Train Acc: 59.29800271987915%
Test Loss: 1.258002825164795 | Test Acc: 57.419997453689575%
Epoch: 77 | Epoch Time: 0m 46s
Train Loss: 1.1898144059753417 | Train Acc: 59.45799946784973%
Test Loss: 1.261842024230957 | Test Acc: 57.55000114440918%
Epoch: 78 | Epoch Time: 0m 47s
Train Loss: 1.1903241366577149 | Train Acc: 59.66399908065796%
Test Loss: 1.2654770988464354 | Test Acc: 57.60999917984009%
Epoch: 79 | Epoch Time: 0m 47s
Train Loss: 1.1918288899230958 | Train Acc: 59.75000262260437%
Test Loss: 1.269429867553711 | Test Acc: 57.760000228881836%
Epoch: 80 | Epoch Time: 0m 46s
Train Loss: 1.1921027738952636 | Train Acc: 59.92000102996826%
Test Loss: 1.2724979499816895 | Test Acc: 57.8499972820282%
Epoch: 81 | Epoch Time: 0m 46s
Train Loss: 1.192725569152832 | Train Acc: 60.06600260734558%
Test Loss: 1.276067359161377 | Test Acc: 57.94000029563904%
Epoch: 82 | Epoch Time: 0m 46s
Train Loss: 1.1933735905456544 | Train Acc: 60.203999280929565%
Test Loss: 1.2797343688964844 | Test Acc: 58.02000164985657%
Epoch: 83 | Epoch Time: 0m 47s
Train Loss: 1.1952094158935547 | Train Acc: 60.30200123786926%
Test Loss: 1.2847356002807617 | Test Acc: 58.17999839782715%
Epoch: 84 | Epoch Time: 0m 47s
Train Loss: 1.1971810891723633 | Train Acc: 60.482001304626465%
Test Loss: 1.29026416015625 | Test Acc: 58.240002393722534%
Epoch: 85 | Epoch Time: 0m 46s
Train Loss: 1.1988587762451173 | Train Acc: 60.60600280761719%
Test Loss: 1.2950704376220703 | Test Acc: 58.25999975204468%
Epoch: 86 | Epoch Time: 0m 46s
Train Loss: 1.1986059802246094 | Train Acc: 60.70200204849243%
Test Loss: 1.297320442199707 | Test Acc: 58.240002393722534%
Epoch: 87 | Epoch Time: 0m 47s
Train Loss: 1.2012280786132812 | Train Acc: 60.8240008354187%
Test Loss: 1.3031982963562012 | Test Acc: 58.38000178337097%
Epoch: 88 | Epoch Time: 0m 46s
Train Loss: 1.2062441564941406 | Train Acc: 60.923999547958374%
Test Loss: 1.3120323707580566 | Test Acc: 58.420002460479736%
Epoch: 89 | Epoch Time: 0m 46s
Train Loss: 1.2100685861206055 | Train Acc: 61.06399893760681%
Test Loss: 1.3194274520874023 | Test Acc: 58.60000252723694%
Epoch: 90 | Epoch Time: 0m 46s
Train Loss: 1.210325223236084 | Train Acc: 61.23200058937073%
Test Loss: 1.322046622467041 | Test Acc: 58.719998598098755%
Epoch: 91 | Epoch Time: 0m 47s
Train Loss: 1.2157607020568848 | Train Acc: 61.36000156402588%
Test Loss: 1.331184326171875 | Test Acc: 58.78000259399414%
Epoch: 92 | Epoch Time: 0m 47s
Train Loss: 1.2172697036743163 | Train Acc: 61.466002464294434%
Test Loss: 1.3355919677734376 | Test Acc: 58.85999798774719%
Epoch: 93 | Epoch Time: 0m 47s
Train Loss: 1.2187835145568848 | Train Acc: 61.60399913787842%
Test Loss: 1.3399651908874513 | Test Acc: 58.92000198364258%
Epoch: 94 | Epoch Time: 0m 46s
Train Loss: 1.2236364440917968 | Train Acc: 61.69599890708923%
Test Loss: 1.348318839263916 | Test Acc: 58.969998359680176%
Epoch: 95 | Epoch Time: 0m 46s
Train Loss: 1.2266249058532714 | Train Acc: 61.795997619628906%
Test Loss: 1.3545151397705077 | Test Acc: 58.99999737739563%
Epoch: 96 | Epoch Time: 0m 46s
Train Loss: 1.2302549151611328 | Train Acc: 61.875998973846436%
Test Loss: 1.3615904838562012 | Test Acc: 59.02000069618225%
Epoch: 97 | Epoch Time: 0m 47s
Train Loss: 1.2356241944885253 | Train Acc: 61.9920015335083%
Test Loss: 1.3705044342041015 | Test Acc: 59.03000235557556%
Epoch: 98 | Epoch Time: 0m 46s
Train Loss: 1.2397547895812988 | Train Acc: 62.06200122833252%
Test Loss: 1.3776184677124024 | Test Acc: 59.049999713897705%
Epoch: 99 | Epoch Time: 0m 47s
Train Loss: 1.2424623887634276 | Train Acc: 62.13200092315674%
Test Loss: 1.3827779335021972 | Test Acc: 59.06999707221985%
Epoch: 100 | Epoch Time: 0m 47s
Train Loss: 1.2446939515686035 | Train Acc: 62.25799918174744%
Test Loss: 1.3872180786132813 | Test Acc: 59.039998054504395%
Namespace(action=12, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'raw', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 15, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Tue May  7 17:05:35 2024]======================
Epoch: 1 | Epoch Time: 0m 51s
Train Loss: 2.2986947692871094 | Train Acc: 11.209999769926071%
Test Loss: 2.2985556365966797 | Test Acc: 11.389999836683273%
Epoch: 2 | Epoch Time: 0m 53s
Train Loss: 2.285861994628906 | Train Acc: 18.14199984073639%
Test Loss: 2.285569253540039 | Test Acc: 18.320000171661377%
Epoch: 3 | Epoch Time: 0m 53s
Train Loss: 2.2633605657958986 | Train Acc: 23.06399941444397%
Test Loss: 2.2627800674438476 | Test Acc: 23.190000653266907%
Epoch: 4 | Epoch Time: 1m 12s
Train Loss: 2.2304611712646483 | Train Acc: 25.83799958229065%
Test Loss: 2.229508627319336 | Test Acc: 25.81999897956848%
Epoch: 5 | Epoch Time: 1m 18s
Train Loss: 2.1890079107666014 | Train Acc: 28.45200002193451%
